,5dfe2d266552efac7758576e
PlayerDetails,5dfe2d266552efac7758576e
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,N
Pond8_#Fishes,12
Pond9_Type,RT
Pond9_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,17
Pond11_Type,N
Pond11_#Fishes,18
Pond6_Type,RT
Pond6_#Fishes,16
Pond10_Type,RD
Pond10_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,19
Pond4_Type,N
Pond4_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:29:09 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.238
Pond8Fish1_PondTime,9.764
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,11
Pond8Fish1_TimeLeft,1192.635
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5.454545454545454
