,5dfe7f1413ec50afd973fb3a
PlayerDetails,5dfe7f1413ec50afd973fb3a
GameCompleted,declined
Selected ponds in the game,=======
Pond8_Type,RD
Pond8_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,13
Pond5_Type,RD
Pond5_#Fishes,17
Pond3_Type,RT
Pond3_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 12:11:09 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης)
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.908
Pond8Fish1_PondTime,8.004
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,12
Pond8Fish1_TimeLeft,1194.389
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.694
Pond8Fish2_PondTime,14.123
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,24
Pond8Fish2_TimeLeft,1188.269
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.719
Pond8Fish3_PondTime,20.517
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,36
Pond8Fish3_TimeLeft,1181.876
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.529
Pond8Fish4_PondTime,27.165
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,48
Pond8Fish4_TimeLeft,1175.228
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,2.042
Pond8Fish5_PondTime,34.211
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,60
Pond8Fish5_TimeLeft,1168.182
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,gray
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,-1
Pond8Fish6_PondTime,41.625
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,60
Pond8Fish6_TimeLeft,1160.768
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.749
Pond8Fish7_PondTime,49.506
Pond8Fish7_PondOutcome,72
Pond8Fish7_TotalOutcome,72
Pond8Fish7_TimeLeft,1152.887
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,-1
Pond8Fish8_PondTime,57.937
Pond8Fish8_PondOutcome,72
Pond8Fish8_TotalOutcome,72
Pond8Fish8_TimeLeft,1144.456
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,-1
Pond8Fish9_PondTime,67.034
Pond8Fish9_PondOutcome,72
Pond8Fish9_TotalOutcome,72
Pond8Fish9_TimeLeft,1135.359
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.676
Pond8Fish10_PondTime,76.9
Pond8Fish10_PondOutcome,84
Pond8Fish10_TotalOutcome,84
Pond8Fish10_TimeLeft,1125.493
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,1.564
Pond8Fish11_PondTime,87.852
Pond8Fish11_PondOutcome,96
Pond8Fish11_TotalOutcome,96
Pond8Fish11_TimeLeft,1114.541
Type,RD
FishN,17
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,1.483
Pond8Fish12_PondTime,100.226
Pond8Fish12_PondOutcome,108
Pond8Fish12_TotalOutcome,108
Pond8Fish12_TimeLeft,1102.167
Type,RD
FishN,17
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,-1
Pond8Fish13_PondTime,114.652
