,5dfe838ea7fba6b19132f859
PlayerDetails,5dfe838ea7fba6b19132f859
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,18
Pond6_Type,RT
Pond6_#Fishes,18
Pond4_Type,RT
Pond4_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,13
Pond8_Type,N
Pond8_#Fishes,16
Pond12_Type,RD
Pond12_#Fishes,12
Pond9_Type,RD
Pond9_#Fishes,15
Pond11_Type,N
Pond11_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:42:09 GMT+0100 (Centraleuropæisk normaltid)
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.095
Pond10Fish1_PondTime,7.804
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,12
Pond10Fish1_TimeLeft,1194.595
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,1.348
Pond10Fish2_PondTime,13.92
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,24
Pond10Fish2_TimeLeft,1188.479
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,gray
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.38
Pond10Fish3_PondTime,20.284
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,26
Pond10Fish3_TimeLeft,1182.115
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,-1
Pond10Fish4_PondTime,27
Pond10Fish4_PondOutcome,26
Pond10Fish4_TotalOutcome,26
Pond10Fish4_TimeLeft,1175.399
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,0.746
Pond10Fish5_PondTime,33.989
Pond10Fish5_PondOutcome,38
Pond10Fish5_TotalOutcome,38
Pond10Fish5_TimeLeft,1168.41
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,0.791
Pond10Fish6_PondTime,41.35
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,50
Pond10Fish6_TimeLeft,1161.049
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,0.909
Pond10Fish7_PondTime,49.17
Pond10Fish7_PondOutcome,62
Pond10Fish7_TotalOutcome,62
Pond10Fish7_TimeLeft,1153.229
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,1.065
Pond10Fish8_PondTime,57.534
Pond10Fish8_PondOutcome,74
Pond10Fish8_TotalOutcome,74
