,5dff35333f2915b958dfd601
PlayerDetails,5dff35333f2915b958dfd601
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RT
Pond7_#Fishes,13
Pond1_Type,N
Pond1_#Fishes,14
Pond3_Type,N
Pond3_#Fishes,17
Pond8_Type,N
Pond8_#Fishes,13
Pond4_Type,N
Pond4_#Fishes,13
Pond2_Type,N
Pond2_#Fishes,17
Pond12_Type,RT
Pond12_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,18
Pond6_Type,RT
Pond6_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:16:11 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,1.241
Pond7Fish1_PondTime,9.263
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1193.136
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,1.163
Pond7Fish2_PondTime,17.079
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,20
Pond7Fish2_TimeLeft,1185.32
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,golden
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,1.034
Pond7Fish3_PondTime,25.446
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,40
Pond7Fish3_TimeLeft,1176.953
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,1.389
Pond7Fish4_PondTime,34.478
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,50
Pond7Fish4_TimeLeft,1167.921
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,1.112
Pond7Fish5_PondTime,44.371
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,60
Pond7Fish5_TimeLeft,1158.028
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,0.97
Pond7Fish6_PondTime,55.316
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,70
Pond7Fish6_TimeLeft,1147.083
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,1.129
Pond7Fish7_PondTime,67.683
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,80
Pond7Fish7_TimeLeft,1134.715
PondEnd_LastFish,7
FishN,15
Type,RT
GiveUpTime,1.235
PondTime,68.261
TimeLeft,1133.635
PondOutcome,80
TotalOutcome,80
PondStart,PondStart
PondIntroTime,18.840038639027625
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.167
Pond1Fish1_PondTime,8.925
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,91
Pond1Fish1_TimeLeft,1105.228
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.108
Pond1Fish2_PondTime,16.286
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,102
Pond1Fish2_TimeLeft,1097.867
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,1.041
Pond1Fish3_PondTime,24.119
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,113
Pond1Fish3_TimeLeft,1090.034
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,1.375
Pond1Fish4_PondTime,32.488
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,124
Pond1Fish4_TimeLeft,1081.665
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,1.56
Pond1Fish5_PondTime,41.536
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,135
Pond1Fish5_TimeLeft,1072.617
Type,N
FishN,19
Fish,6
