,5dff62a6df98d9ba45117f52
PlayerDetails,5dff62a6df98d9ba45117f52
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,15
Pond12_Type,RT
Pond12_#Fishes,16
Pond6_Type,N
Pond6_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,12
Pond9_Type,RD
Pond9_#Fishes,15
Pond2_Type,N
Pond2_#Fishes,19
Pond8_Type,RD
Pond8_#Fishes,14
Pond7_Type,RT
Pond7_#Fishes,14
Pond11_Type,N
Pond11_#Fishes,16
Pond10_Type,RT
Pond10_#Fishes,17
Pond4_Type,RD
Pond4_#Fishes,15
Pond3_Type,N
Pond3_#Fishes,18
Pond5_Type,RD
Pond5_#Fishes,15
Pond7_Type,RD
Pond7_#Fishes,13
Pond1_Type,N
Pond1_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 15:09:46 GMT+0200 (Eastern European Standard Time)
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,0.706
Pond1Fish1_PondTime,8.545
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,10
Pond1Fish1_TimeLeft,1193.854
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.93
Pond1Fish2_PondTime,15.523
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,20
Pond1Fish2_TimeLeft,1186.876
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.066
Pond1Fish3_PondTime,22.883
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,30
Pond1Fish3_TimeLeft,1179.515
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.089
Pond1Fish4_PondTime,30.695
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,40
