,JD DIS
PlayerDetails,JD DIS
GameCompleted,declined
Selected ponds in the game,=======
Pond4_Type,N
Pond4_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,14
Pond6_Type,RT
Pond6_#Fishes,15
Pond12_Type,RD
Pond12_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,13
Pond10_Type,RD
Pond10_#Fishes,15
Pond8_Type,RT
Pond8_#Fishes,13
Pond7_Type,RT
Pond7_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:34:47 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.756
Pond4Fish1_PondTime,9.266
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,11
Pond4Fish1_TimeLeft,1193.133
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.704
Pond4Fish2_PondTime,17.099
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,22
Pond4Fish2_TimeLeft,1185.3
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.978
Pond4Fish3_PondTime,25.468
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,33
Pond4Fish3_TimeLeft,1176.931
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.103
Pond4Fish4_PondTime,34.503
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,44
Pond4Fish4_TimeLeft,1167.896
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.984
Pond4Fish5_PondTime,44.37
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,55
Pond4Fish5_TimeLeft,1158.029
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.556
Pond4Fish6_PondTime,55.303
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,66
Pond4Fish6_TimeLeft,1147.096
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,-1
Pond4Fish7_PondTime,67.721
Pond4Fish7_PondOutcome,66
Pond4Fish7_TotalOutcome,66
Pond4Fish7_TimeLeft,1134.678
PondEnd_LastFish,7
FishN,16
Type,N
GiveUpTime,13.873
PondTime,68.942
TimeLeft,1132.955
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,17.19542235834524
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,8.95
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,66
Pond5Fish1_TimeLeft,1106.191
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.229
Pond5Fish2_PondTime,16.317
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,77
Pond5Fish2_TimeLeft,1098.824
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.686
Pond5Fish3_PondTime,24.134
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,88
Pond5Fish3_TimeLeft,1091.007
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.815
Pond5Fish4_PondTime,32.487
Pond5Fish4_PondOutcome,33
Pond5Fish4_TotalOutcome,99
Pond5Fish4_TimeLeft,1082.654
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.707
Pond5Fish5_PondTime,41.52
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,110
Pond5Fish5_TimeLeft,1073.621
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.687
Pond5Fish6_PondTime,51.39
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,121
Pond5Fish6_TimeLeft,1063.751
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,0.468
PondTime,61.739
TimeLeft,1052.899
PondOutcome,55
TotalOutcome,121
PondStart,PondStart
PondIntroTime,11.1676170444116
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.825
Pond6Fish1_PondTime,8.553
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,131
Pond6Fish1_TimeLeft,1032.548
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,0.94
Pond6Fish2_PondTime,15.535
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,141
Pond6Fish2_TimeLeft,1025.566
PondEnd_LastFish,2
FishN,19
Type,RT
GiveUpTime,0.972
PondTime,22.706
TimeLeft,1017.894
PondOutcome,20
TotalOutcome,141
PondStart,PondStart
PondIntroTime,13.861619653180242
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.917
Pond12Fish1_PondTime,7.803
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,153
Pond12Fish1_TimeLeft,995.611
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,-1
Pond12Fish2_PondTime,13.968
Pond12Fish2_PondOutcome,12
Pond12Fish2_TotalOutcome,153
Pond12Fish2_TimeLeft,989.446
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.575
Pond12Fish3_PondTime,20.336
Pond12Fish3_PondOutcome,24
Pond12Fish3_TotalOutcome,165
Pond12Fish3_TimeLeft,983.078
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,0.91
Pond12Fish4_PondTime,26.987
Pond12Fish4_PondOutcome,36
Pond12Fish4_TotalOutcome,177
Pond12Fish4_TimeLeft,976.427
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.231
Pond12Fish5_PondTime,33.97
Pond12Fish5_PondOutcome,48
Pond12Fish5_TotalOutcome,189
Pond12Fish5_TimeLeft,969.444
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,0.706
Pond12Fish6_PondTime,41.337
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,201
Pond12Fish6_TimeLeft,962.077
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.931
Pond12Fish7_PondTime,49.156
Pond12Fish7_PondOutcome,72
Pond12Fish7_TotalOutcome,213
Pond12Fish7_TimeLeft,954.258
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,1.158
Pond12Fish8_PondTime,57.524
Pond12Fish8_PondOutcome,84
Pond12Fish8_TotalOutcome,225
Pond12Fish8_TimeLeft,945.89
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,1.037
Pond12Fish9_PondTime,66.558
Pond12Fish9_PondOutcome,96
Pond12Fish9_TotalOutcome,237
Pond12Fish9_TimeLeft,936.856
Type,RD
FishN,13
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,1.157
Pond12Fish10_PondTime,76.424
Pond12Fish10_PondOutcome,108
Pond12Fish10_TotalOutcome,249
Pond12Fish10_TimeLeft,926.99
Type,RD
FishN,13
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,0.705
Pond12Fish11_PondTime,87.361
Pond12Fish11_PondOutcome,120
Pond12Fish11_TotalOutcome,261
Pond12Fish11_TimeLeft,916.053
Type,RD
FishN,13
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,8.571428571428571
Pond12Fish12_CatchTime,0.97
Pond12Fish12_PondTime,99.728
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,273
Pond12Fish12_TimeLeft,903.685
Type,RD
FishN,13
Fish,13
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,10
Pond12Fish13_CatchTime,0.961
Pond12Fish13_PondTime,114.095
Pond12Fish13_PondOutcome,144
Pond12Fish13_TotalOutcome,285
Pond12Fish13_TimeLeft,889.319
Type,RD
FishN,13
Fish,14
Pond12Fish14_FishType,blue
Pond12Fish14_FishLatency,12
Pond12Fish14_CatchTime,1.161
Pond12Fish14_PondTime,131.448
Pond12Fish14_PondOutcome,156
Pond12Fish14_TotalOutcome,297
Pond12Fish14_TimeLeft,871.965
Type,RD
FishN,13
Fish,15
Pond12Fish15_FishType,blue
Pond12Fish15_FishLatency,15
Pond12Fish15_CatchTime,1.112
Pond12Fish15_PondTime,153.816
Pond12Fish15_PondOutcome,168
Pond12Fish15_TotalOutcome,309
Pond12Fish15_TimeLeft,849.598
PondEnd_LastFish,15
FishN,13
Type,RD
GiveUpTime,1.016
PondTime,154.148
TimeLeft,848.765
PondOutcome,168
TotalOutcome,309
PondStart,PondStart
PondIntroTime,18.416826743632555
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,0.842
Pond1Fish1_PondTime,8.268
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,320
