,dsahay
PlayerDetails,dsahay
GameCompleted,declined
Selected ponds in the game,=======
Pond5_Type,N
Pond5_#Fishes,12
Pond6_Type,N
Pond6_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,19
Pond2_Type,RD
Pond2_#Fishes,16
Pond12_Type,RD
Pond12_#Fishes,16
Pond4_Type,RT
Pond4_#Fishes,14
Pond11_Type,N
Pond11_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,16
Pond1_Type,N
Pond1_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 05:33:28 GMT-0500 (Eastern Standard Time)
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,9.79
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,0
Pond5Fish1_TimeLeft,1192.609
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.328
Pond5Fish2_PondTime,18.168
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,11
Pond5Fish2_TimeLeft,1184.231
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.038
Pond5Fish3_PondTime,27.21
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,22
Pond5Fish3_TimeLeft,1175.189
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.413
Pond5Fish4_PondTime,37.084
Pond5Fish4_PondOutcome,33
Pond5Fish4_TotalOutcome,33
Pond5Fish4_TimeLeft,1165.315
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.256
Pond5Fish5_PondTime,48.019
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,44
Pond5Fish5_TimeLeft,1154.38
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.42
Pond5Fish6_PondTime,60.394
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,55
Pond5Fish6_TimeLeft,1142.005
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,1.079
Pond5Fish7_PondTime,74.754
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,66
Pond5Fish7_TimeLeft,1127.645
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,1.308
Pond5Fish8_PondTime,92.131
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,77
Pond5Fish8_TimeLeft,1110.268
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,12.826
PondTime,104.475
TimeLeft,1097.423
PondOutcome,77
TotalOutcome,77
PondStart,PondStart
PondIntroTime,14.765770963858813
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.355
Pond6Fish1_PondTime,9.735
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,88
Pond6Fish1_TimeLeft,1072.294
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.363
Pond6Fish2_PondTime,18.111
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,99
Pond6Fish2_TimeLeft,1063.918
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.627
Pond6Fish3_PondTime,27.15
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,110
Pond6Fish3_TimeLeft,1054.879
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.747
