,minigunski
PlayerDetails,minigunski
GameCompleted,declined
Selected ponds in the game,=======
Pond9_Type,RD
Pond9_#Fishes,16
Pond11_Type,RT
Pond11_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,15
Pond7_Type,RT
Pond7_#Fishes,18
Pond4_Type,N
Pond4_#Fishes,17
Pond3_Type,RT
Pond3_#Fishes,16
Pond6_Type,RD
Pond6_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:12:17 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,0.966
Pond9Fish1_PondTime,8.285
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1194.113
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,0.987
Pond9Fish2_PondTime,14.957
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,24
Pond9Fish2_TimeLeft,1187.441
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,0.764
Pond9Fish3_PondTime,22.347
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,36
Pond9Fish3_TimeLeft,1180.051
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,0.837
Pond9Fish4_PondTime,29.708
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,48
Pond9Fish4_TimeLeft,1172.69
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,1.036
Pond9Fish5_PondTime,37.555
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,60
Pond9Fish5_TimeLeft,1164.843
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,0.883
Pond9Fish6_PondTime,45.926
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,72
Pond9Fish6_TimeLeft,1156.472
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,0.978
Pond9Fish7_PondTime,54.988
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,84
Pond9Fish7_TimeLeft,1147.409
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,gray
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,1.183
Pond9Fish8_PondTime,64.891
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,86
Pond9Fish8_TimeLeft,1137.507
Type,RD
FishN,16
Fish,9
Pond9Fish9_FishType,gray
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,1.192
Pond9Fish9_PondTime,75.839
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,88
Pond9Fish9_TimeLeft,1126.559
Type,RD
FishN,16
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,0.894
Pond9Fish10_PondTime,88.209
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,100
Pond9Fish10_TimeLeft,1114.189
Type,RD
FishN,16
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,10
Pond9Fish11_CatchTime,0.911
Pond9Fish11_PondTime,102.601
Pond9Fish11_PondOutcome,112
Pond9Fish11_TotalOutcome,112
Pond9Fish11_TimeLeft,1099.797
Type,RD
FishN,16
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,12
Pond9Fish12_CatchTime,0.792
Pond9Fish12_PondTime,119.992
Pond9Fish12_PondOutcome,124
Pond9Fish12_TotalOutcome,124
Pond9Fish12_TimeLeft,1082.406
Type,RD
FishN,16
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,15
Pond9Fish13_CatchTime,1.153
Pond9Fish13_PondTime,142.393
Pond9Fish13_PondOutcome,136
Pond9Fish13_TotalOutcome,136
Pond9Fish13_TimeLeft,1060.005
PondEnd_LastFish,13
FishN,16
Type,RD
GiveUpTime,1.725
PondTime,143.479
TimeLeft,1058.415
PondOutcome,136
TotalOutcome,136
PondStart,PondStart
PondIntroTime,16.539627029560506
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.803
Pond11Fish1_PondTime,7.807
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,146
Pond11Fish1_TimeLeft,1033.426
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.968
Pond11Fish2_PondTime,13.923
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,156
Pond11Fish2_TimeLeft,1027.31
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.757
Pond11Fish3_PondTime,20.324
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,166
Pond11Fish3_TimeLeft,1020.908
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,golden
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.795
Pond11Fish4_PondTime,27.021
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,186
Pond11Fish4_TimeLeft,1014.212
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.89
Pond11Fish5_PondTime,34.026
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,196
Pond11Fish5_TimeLeft,1007.207
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,golden
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.793
Pond11Fish6_PondTime,41.44
Pond11Fish6_PondOutcome,80
Pond11Fish6_TotalOutcome,216
Pond11Fish6_TimeLeft,999.793
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,golden
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.881
Pond11Fish7_PondTime,49.255
Pond11Fish7_PondOutcome,100
Pond11Fish7_TotalOutcome,236
Pond11Fish7_TimeLeft,991.978
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.837
Pond11Fish8_PondTime,57.628
Pond11Fish8_PondOutcome,110
Pond11Fish8_TotalOutcome,246
Pond11Fish8_TimeLeft,983.604
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.967
Pond11Fish9_PondTime,66.674
Pond11Fish9_PondOutcome,120
Pond11Fish9_TotalOutcome,256
Pond11Fish9_TimeLeft,974.559
Type,RT
FishN,14
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.893
Pond11Fish10_PondTime,76.772
Pond11Fish10_PondOutcome,130
Pond11Fish10_TotalOutcome,266
Pond11Fish10_TimeLeft,964.461
Type,RT
FishN,14
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,1.438
Pond11Fish11_PondTime,87.762
Pond11Fish11_PondOutcome,140
Pond11Fish11_TotalOutcome,276
Pond11Fish11_TimeLeft,953.471
Type,RT
FishN,14
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,0.757
Pond11Fish12_PondTime,100.142
