,teresa
PlayerDetails,teresa
GameCompleted,declined
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,13
Pond2_Type,N
Pond2_#Fishes,15
Pond5_Type,N
Pond5_#Fishes,19
Pond12_Type,RT
Pond12_#Fishes,14
Pond6_Type,RT
Pond6_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:47:16 GMT+0100 (Ora standard dell’Europa centrale)
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.07
Pond1Fish1_PondTime,9.28
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,10
Pond1Fish1_TimeLeft,1193.119
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.134
Pond1Fish2_PondTime,17.113
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,20
Pond1Fish2_TimeLeft,1185.286
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.09
Pond1Fish3_PondTime,25.479
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,30
Pond1Fish3_TimeLeft,1176.92
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.015
Pond1Fish4_PondTime,34.519
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,40
Pond1Fish4_TimeLeft,1167.88
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.038
Pond1Fish5_PondTime,44.399
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,50
Pond1Fish5_TimeLeft,1158
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.415
Pond1Fish6_PondTime,55.345
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,60
Pond1Fish6_TimeLeft,1147.054
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,golden
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.133
Pond1Fish7_PondTime,67.713
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,80
Pond1Fish7_TimeLeft,1134.686
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.421
Pond1Fish8_PondTime,82.092
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,90
Pond1Fish8_TimeLeft,1120.307
PondEnd_LastFish,8
FishN,19
Type,RT
GiveUpTime,1.363
PondTime,83.067
TimeLeft,1118.829
PondOutcome,90
TotalOutcome,90
PondStart,PondStart
PondIntroTime,14.338673970196396
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,1.242
Pond2Fish1_PondTime,8.567
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,101
Pond2Fish1_TimeLeft,1095.305
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,1.133
Pond2Fish2_PondTime,15.548
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,112
Pond2Fish2_TimeLeft,1088.325
Type,N
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,1.016
Pond2Fish3_PondTime,22.919
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,123
Pond2Fish3_TimeLeft,1080.954
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,1.125
Pond2Fish4_PondTime,30.75
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,134
Pond2Fish4_TimeLeft,1073.123
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,0.979
Pond2Fish5_PondTime,39.132
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,145
Pond2Fish5_TimeLeft,1064.741
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,1.049
Pond2Fish6_PondTime,48.183
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,156
Pond2Fish6_TimeLeft,1055.69
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,1.108
Pond2Fish7_PondTime,58.065
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,167
Pond2Fish7_TimeLeft,1045.808
Type,N
FishN,12
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,-1
Pond2Fish8_PondTime,69.061
Pond2Fish8_PondOutcome,77
Pond2Fish8_TotalOutcome,167
Pond2Fish8_TimeLeft,1034.812
Type,N
FishN,12
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,1.814
Pond2Fish9_PondTime,81.539
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,178
Pond2Fish9_TimeLeft,1022.334
Type,N
FishN,12
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,-1
Pond2Fish10_PondTime,95.954
Pond2Fish10_PondOutcome,88
Pond2Fish10_TotalOutcome,178
Pond2Fish10_TimeLeft,1007.919
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,20.044
PondTime,101.481
TimeLeft,1001.888
PondOutcome,88
TotalOutcome,178
PondStart,PondStart
PondIntroTime,17.092678935732692
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.317
Pond5Fish1_PondTime,7.61
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,189
Pond5Fish1_TimeLeft,976.561
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.799
Pond5Fish2_PondTime,13.514
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,200
Pond5Fish2_TimeLeft,970.657
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.852
Pond5Fish3_PondTime,19.642
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,211
Pond5Fish3_TimeLeft,964.529
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.826
Pond5Fish4_PondTime,26.026
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,222
