,5b2150d538b0be00014137fb
PlayerDetails,5b2150d538b0be00014137fb
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,14
Pond2Type,RD
Pond2FishN,13
Pond3Type,RT
Pond3FishN,16
Pond4Type,RT
Pond4FishN,14
Pond5Type,RT
Pond5FishN,13
Pond6Type,RD
Pond6FishN,12
Pond7Type,RT
Pond7FishN,15
Pond8Type,N
Pond8FishN,19
Pond9Type,N
Pond9FishN,14
Pond10Type,N
Pond10FishN,13
Pond11Type,N
Pond11FishN,14
Pond12Type,N
Pond12FishN,17
Date:,Mon Nov 25 2019 00:37:53 GMT+1100 (Australian Eastern Daylight Time)
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.501
Pond3Fish1_PondTime,5.883
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1194.113
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.968
Pond3Fish2_PondTime,12.53
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1187.466
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.716
Pond3Fish3_PondTime,19.501
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1180.495
Pond3_Type,RT
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.842
Pond3Fish4_PondTime,26.864
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,40
Pond3Fish4_TimeLeft,1173.132
Pond3_Type,RT
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.017
Pond3Fish5_PondTime,34.676
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,50
Pond3Fish5_TimeLeft,1165.32
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.979
Pond3Fish6_PondTime,43.038
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,60
Pond3Fish6_TimeLeft,1156.958
Pond3_Type,RT
Pond3Fish7_FishType,golden
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.876
Pond3Fish7_PondTime,52.065
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,80
Pond3Fish7_TimeLeft,1147.931
Pond3_Type,RT
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,0.886
Pond3Fish8_PondTime,61.926
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,90
Pond3Fish8_TimeLeft,1138.07
Pond3_Type,RT
Pond3Fish9_FishType,golden
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,0.738
Pond3Fish9_PondTime,72.858
Pond3Fish9_PondOutcome,110
Pond3Fish9_TotalOutcome,110
Pond3Fish9_TimeLeft,1127.138
Pond3_Type,RT
Pond3Fish10_FishType,golden
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,0.79
Pond3Fish10_PondTime,85.218
Pond3Fish10_PondOutcome,130
Pond3Fish10_TotalOutcome,130
Pond3Fish10_TimeLeft,1114.778
Pond3_Type,RT
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,0.911
Pond3Fish11_PondTime,99.58
Pond3Fish11_PondOutcome,140
Pond3Fish11_TotalOutcome,140
Pond3Fish11_TimeLeft,1100.416
Pond3_Type,RT
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,12
Pond3Fish12_CatchTime,1.022
Pond3Fish12_PondTime,116.94
Pond3Fish12_PondOutcome,150
Pond3Fish12_TotalOutcome,150
Pond3Fish12_TimeLeft,1083.056
Pond3_GiveUpTime,0.971
Pond3_PondTime,139.715
Pond3_PondOutcome,150
Pond3_TotalOutcome,150
Pond3_TimeLeft,1060.281
Pond5IntroTime,14.599264282733202
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.859
Pond5Fish1_PondTime,24.639
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,160
Pond5Fish1_TimeLeft,1035.642
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.876
Pond5Fish2_PondTime,32.454
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,170
Pond5Fish2_TimeLeft,1027.827
Pond5_Type,RT
Pond5Fish3_FishType,golden
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.913
Pond5Fish3_PondTime,40.815
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,190
Pond5Fish3_TimeLeft,1019.466
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.807
Pond5Fish4_PondTime,49.843
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,200
Pond5Fish4_TimeLeft,1010.438
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.598
Pond5Fish5_PondTime,59.704
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,210
Pond5Fish5_TimeLeft,1000.577
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.246
Pond5Fish6_PondTime,70.634
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,220
Pond5Fish6_TimeLeft,989.647
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,0.987
Pond5Fish7_PondTime,82.994
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,230
Pond5Fish7_TimeLeft,977.286
Pond5_Type,RT
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,0.901
Pond5Fish8_PondTime,97.354
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,240
Pond5Fish8_TimeLeft,962.927
Pond5_Type,RT
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,0.786
Pond5Fish9_PondTime,114.715
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,250
Pond5Fish9_TimeLeft,945.566
Pond5_Type,RT
Pond5Fish10_FishType,golden
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,0.934
Pond5Fish10_PondTime,137.077
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,270
Pond5Fish10_TimeLeft,923.204
Pond5_GiveUpTime,27.989
Pond5_PondTime,164.599
Pond5_PondOutcome,120
Pond5_TotalOutcome,270
Pond5_TimeLeft,895.682
Pond7IntroTime,12.479324680753052
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,0.693
Pond7Fish1_PondTime,22.305
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,280
Pond7Fish1_TimeLeft,873.377
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.045
Pond7Fish2_PondTime,29.282
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,290
Pond7Fish2_TimeLeft,866.4
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.922
Pond7Fish3_PondTime,36.639
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,300
Pond7Fish3_TimeLeft,859.043
Pond7_Type,RT
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.803
Pond7Fish4_PondTime,44.449
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,310
Pond7Fish4_TimeLeft,851.233
Pond7_Type,RT
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.66
Pond7Fish5_PondTime,52.81
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,320
Pond7Fish5_TimeLeft,842.872
Pond7_Type,RT
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.651
Pond7Fish6_PondTime,61.839
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,330
Pond7Fish6_TimeLeft,833.843
Pond7_Type,RT
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,0.638
Pond7Fish7_PondTime,71.699
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,340
Pond7Fish7_TimeLeft,823.983
Pond7_Type,RT
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,1
Pond7Fish8_PondTime,82.631
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,350
Pond7Fish8_TimeLeft,813.051
Pond7_Type,RT
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,8.571428571428571
Pond7Fish9_CatchTime,1.128
Pond7Fish9_PondTime,94.992
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,360
Pond7Fish9_TimeLeft,800.69
Pond7_GiveUpTime,0.951
Pond7_PondTime,109.781
Pond7_PondOutcome,90
Pond7_TotalOutcome,360
Pond7_TimeLeft,785.901
Pond8IntroTime,14.37781501794234
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.857
Pond8Fish1_PondTime,22.594
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,371
Pond8Fish1_TimeLeft,763.307
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.254
Pond8Fish2_PondTime,28.478
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,382
Pond8Fish2_TimeLeft,757.423
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.054
Pond8Fish3_PondTime,34.586
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,393
Pond8Fish3_TimeLeft,751.315
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.542
Pond8Fish4_PondTime,40.945
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,404
Pond8Fish4_TimeLeft,744.956
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,0.709
Pond8Fish5_PondTime,47.593
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,415
Pond8Fish5_TimeLeft,738.308
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,0.828
Pond8Fish6_PondTime,54.565
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,426
Pond8Fish6_TimeLeft,731.336
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,0.727
Pond8Fish7_PondTime,61.926
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,437
Pond8Fish7_TimeLeft,723.975
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,0.755
Pond8Fish8_PondTime,69.738
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,448
Pond8Fish8_TimeLeft,716.163
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,0.74
Pond8Fish9_PondTime,78.099
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,459
Pond8Fish9_TimeLeft,707.802
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,0.827
Pond8Fish10_PondTime,87.126
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,470
Pond8Fish10_TimeLeft,698.775
Pond8_Type,N
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,0.852
Pond8Fish11_PondTime,96.987
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,481
Pond8Fish11_TimeLeft,688.914
Pond8_Type,N
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,0.597
Pond8Fish12_PondTime,107.918
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,492
Pond8Fish12_TimeLeft,677.983
Pond8_Type,N
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,0.786
Pond8Fish13_PondTime,120.279
Pond8Fish13_PondOutcome,143
Pond8Fish13_TotalOutcome,503
Pond8Fish13_TimeLeft,665.622
Pond8_GiveUpTime,0.605
Pond8_PondTime,134.722
Pond8_PondOutcome,143
Pond8_TotalOutcome,503
Pond8_TimeLeft,651.179
Pond12IntroTime,19.070978926029056
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.901
