,5b87e13126d98700015ed667
PlayerDetails,5b87e13126d98700015ed667
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,14
Pond2Type,RD
Pond2FishN,13
Pond3Type,RT
Pond3FishN,16
Pond4Type,RT
Pond4FishN,14
Pond5Type,RT
Pond5FishN,13
Pond6Type,RD
Pond6FishN,12
Pond7Type,RT
Pond7FishN,15
Pond8Type,N
Pond8FishN,19
Pond9Type,N
Pond9FishN,14
Pond10Type,N
Pond10FishN,13
Pond11Type,N
Pond11FishN,14
Pond12Type,N
Pond12FishN,17
Date:,Sun Nov 24 2019 09:44:31 GMT-0330 (Newfoundland Standard Time)
Pond2_Type,RD
Pond2Fish1_FishType,gray
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.472
Pond2Fish1_PondTime,6.895
Pond2Fish1_PondOutcome,2
Pond2Fish1_TotalOutcome,2
Pond2Fish1_TimeLeft,1193.089
Pond2_Type,RD
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.36
Pond2Fish2_PondTime,14.77
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,14
Pond2Fish2_TimeLeft,1185.215
Pond2_Type,RD
Pond2Fish3_FishType,gray
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.748
Pond2Fish3_PondTime,23.213
Pond2Fish3_PondOutcome,16
Pond2Fish3_TotalOutcome,16
Pond2Fish3_TimeLeft,1176.772
Pond2_Type,RD
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,2.06
Pond2Fish4_PondTime,32.35
Pond2Fish4_PondOutcome,28
Pond2Fish4_TotalOutcome,28
Pond2Fish4_TimeLeft,1167.635
Pond2_Type,RD
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.137
Pond2Fish5_PondTime,42.268
Pond2Fish5_PondOutcome,40
Pond2Fish5_TotalOutcome,40
Pond2Fish5_TimeLeft,1157.717
Pond2_Type,RD
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.978
Pond2Fish6_PondTime,53.277
Pond2Fish6_PondOutcome,52
Pond2Fish6_TotalOutcome,52
Pond2Fish6_TimeLeft,1146.708
Pond2_Type,RD
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,1.117
Pond2Fish7_PondTime,65.672
Pond2Fish7_PondOutcome,64
Pond2Fish7_TotalOutcome,64
Pond2Fish7_TimeLeft,1134.313
Pond2_Type,RD
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,1.054
Pond2Fish8_PondTime,80.084
Pond2Fish8_PondOutcome,76
Pond2Fish8_TotalOutcome,76
Pond2Fish8_TimeLeft,1119.901
Pond2_Type,RD
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.96
Pond2Fish9_PondTime,97.486
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,88
Pond2Fish9_TimeLeft,1102.499
Pond2_GiveUpTime,18.237
Pond2_PondTime,115.261
Pond2_PondOutcome,88
Pond2_TotalOutcome,88
Pond2_TimeLeft,1084.724
Pond11IntroTime,15.408775261603296
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,-1
Pond11Fish1_PondTime,25.047
Pond11Fish1_PondOutcome,0
Pond11Fish1_TotalOutcome,88
Pond11Fish1_TimeLeft,1059.676
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.276
Pond11Fish2_PondTime,32.489
Pond11Fish2_PondOutcome,11
Pond11Fish2_TotalOutcome,99
Pond11Fish2_TimeLeft,1052.235
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,-1
Pond11Fish3_PondTime,40.386
Pond11Fish3_PondOutcome,11
Pond11Fish3_TotalOutcome,99
Pond11Fish3_TimeLeft,1044.338
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.212
Pond11Fish4_PondTime,48.803
Pond11Fish4_PondOutcome,22
Pond11Fish4_TotalOutcome,110
Pond11Fish4_TimeLeft,1035.921
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.908
Pond11Fish5_PondTime,57.88
Pond11Fish5_PondOutcome,33
Pond11Fish5_TotalOutcome,121
Pond11Fish5_TimeLeft,1026.844
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.202
Pond11Fish6_PondTime,67.779
Pond11Fish6_PondOutcome,44
Pond11Fish6_TotalOutcome,132
Pond11Fish6_TimeLeft,1016.945
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.291
Pond11Fish7_PondTime,78.73
Pond11Fish7_PondOutcome,55
Pond11Fish7_TotalOutcome,143
Pond11Fish7_TimeLeft,1005.993
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,1.285
Pond11Fish8_PondTime,91.106
Pond11Fish8_PondOutcome,66
