,5d629a4b6da6c60001f09cd2
PlayerDetails,5d629a4b6da6c60001f09cd2
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,14
Pond2Type,RD
Pond2FishN,13
Pond3Type,RT
Pond3FishN,16
Pond4Type,RT
Pond4FishN,14
Pond5Type,RT
Pond5FishN,13
Pond6Type,RD
Pond6FishN,12
Pond7Type,RT
Pond7FishN,15
Pond8Type,N
Pond8FishN,19
Pond9Type,N
Pond9FishN,14
Pond10Type,N
Pond10FishN,13
Pond11Type,N
Pond11FishN,14
Pond12Type,N
Pond12FishN,17
Date:,Sun Nov 24 2019 14:32:32 GMT+0100 (Central European Standard Time)
Pond1_Type,RD
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.415
Pond1Fish1_PondTime,6.524
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,12
Pond1Fish1_TimeLeft,1193.473
Pond1_Type,RD
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.379
Pond1Fish2_PondTime,13.893
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,24
Pond1Fish2_TimeLeft,1186.104
Pond1_Type,RD
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,1.069
Pond1Fish3_PondTime,21.706
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,36
Pond1Fish3_TimeLeft,1178.291
Pond1_Type,RD
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,1.191
Pond1Fish4_PondTime,30.099
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,48
Pond1Fish4_TimeLeft,1169.898
Pond1_Type,RD
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,0.807
Pond1Fish5_PondTime,39.13
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,60
Pond1Fish5_TimeLeft,1160.867
Pond1_Type,RD
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,1.233
Pond1Fish6_PondTime,49.009
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,72
Pond1Fish6_TimeLeft,1150.988
Pond1_Type,RD
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,0.861
Pond1Fish7_PondTime,59.978
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,84
Pond1Fish7_TimeLeft,1140.019
Pond1_Type,RD
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,0.835
Pond1Fish8_PondTime,72.369
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,96
Pond1Fish8_TimeLeft,1127.628
Pond1_Type,RD
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,1.467
Pond1Fish9_PondTime,86.753
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,108
Pond1Fish9_TimeLeft,1113.244
Pond1_Type,RD
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,1.071
Pond1Fish10_PondTime,104.131
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,120
Pond1Fish10_TimeLeft,1095.866
Pond1_Type,RD
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,15
Pond1Fish11_CatchTime,0.893
Pond1Fish11_PondTime,126.488
Pond1Fish11_PondOutcome,132
Pond1Fish11_TotalOutcome,132
Pond1Fish11_TimeLeft,1073.509
Pond1_Type,RD
Pond1Fish12_FishType,gray
Pond1Fish12_FishLatency,20
Pond1Fish12_CatchTime,1.267
Pond1Fish12_PondTime,158.897
Pond1Fish12_PondOutcome,134
Pond1Fish12_TotalOutcome,134
Pond1Fish12_TimeLeft,1041.1
Pond1_Type,RD
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,30
Pond1Fish13_CatchTime,1.147
Pond1Fish13_PondTime,221.261
Pond1Fish13_PondOutcome,146
Pond1Fish13_TotalOutcome,146
Pond1Fish13_TimeLeft,978.736
Pond1_Type,RD
Pond1Fish14_FishType,blue
Pond1Fish14_FishLatency,60
Pond1Fish14_CatchTime,1.843
Pond1Fish14_PondTime,223.774
Pond1Fish14_PondOutcome,158
Pond1Fish14_TotalOutcome,158
Pond1Fish14_TimeLeft,976.223
Pond1_GiveUpTime,919.831
Pond1_PondTime,1143.903
Pond1_PondOutcome,158
Pond1_TotalOutcome,158
Pond1_TimeLeft,56.094
Pond6IntroTime,16.787587730214
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,27.211
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,158
Pond6Fish1_TimeLeft,28.883
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.12
Pond6Fish2_PondTime,35.576
Pond6Fish2_PondOutcome,12
Pond6Fish2_TotalOutcome,170
Pond6Fish2_TimeLeft,20.518
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.525
Pond6Fish3_PondTime,44.623
Pond6Fish3_PondOutcome,24
Pond6Fish3_TotalOutcome,182
Pond6Fish3_TimeLeft,11.471
