,5dd749139255ed6e91628f96
PlayerDetails,5dd749139255ed6e91628f96
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,12
Pond3Type,RT
Pond3FishN,12
Pond4Type,RT
Pond4FishN,13
Pond5Type,RT
Pond5FishN,17
Pond6Type,RT
Pond6FishN,13
Pond7Type,RT
Pond7FishN,19
Pond8Type,RT
Pond8FishN,15
Pond9Type,RT
Pond9FishN,13
Pond10Type,RT
Pond10FishN,15
Pond11Type,RT
Pond11FishN,12
Pond12Type,RT
Pond12FishN,13
Date:,Sun Nov 24 2019 11:20:05 GMT-0500 (Eastern Standard Time)
Pond10_Type,RT
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.814
Pond10Fish1_PondTime,6.155
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1193.844
Pond10_Type,RT
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,-1
Pond10Fish2_PondTime,13.178
Pond10Fish2_PondOutcome,10
Pond10Fish2_TotalOutcome,10
Pond10Fish2_TimeLeft,1186.821
Pond10_Type,RT
Pond10Fish3_FishType,purple
