,5dd94b63fce6068c13806fb3
PlayerDetails,5dd94b63fce6068c13806fb3
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,14
Pond2Type,RD
Pond2FishN,13
Pond3Type,RT
Pond3FishN,16
Pond4Type,RT
Pond4FishN,14
Pond5Type,RT
Pond5FishN,13
Pond6Type,RD
Pond6FishN,12
Pond7Type,RT
Pond7FishN,15
Pond8Type,N
Pond8FishN,19
Pond9Type,N
Pond9FishN,14
Pond10Type,N
Pond10FishN,13
Pond11Type,N
Pond11FishN,14
Pond12Type,N
Pond12FishN,17
Date:,Sun Nov 24 2019 08:13:21 GMT-0500 (Eastern Standard Time)
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.588
Pond5Fish1_PondTime,6.859
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,10
Pond5Fish1_TimeLeft,1193.137
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.99
Pond5Fish2_PondTime,14.674
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,20
Pond5Fish2_TimeLeft,1185.322
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.726
Pond5Fish3_PondTime,23.041
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,30
Pond5Fish3_TimeLeft,1176.955
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.773
Pond5Fish4_PondTime,32.074
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,40
Pond5Fish4_TimeLeft,1167.922
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.508
Pond5Fish5_PondTime,41.94
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,50
Pond5Fish5_TimeLeft,1158.056
Pond5_Type,RT
Pond5Fish6_FishType,golden
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.87
Pond5Fish6_PondTime,52.874
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,70
Pond5Fish6_TimeLeft,1147.122
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.677
Pond5Fish7_PondTime,65.243
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,80
Pond5Fish7_TimeLeft,1134.753
Pond5_Type,RT
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,0.684
Pond5Fish8_PondTime,79.608
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,90
Pond5Fish8_TimeLeft,1120.388
Pond5_Type,RT
Pond5Fish9_FishType,golden
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,0.892
Pond5Fish9_PondTime,96.975
Pond5Fish9_PondOutcome,110
Pond5Fish9_TotalOutcome,110
Pond5Fish9_TimeLeft,1103.021
Pond5_Type,RT
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,0.643
Pond5Fish10_PondTime,119.342
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,120
Pond5Fish10_TimeLeft,1080.654
Pond5_GiveUpTime,24.591
Pond5_PondTime,143.18
Pond5_PondOutcome,120
Pond5_TotalOutcome,120
Pond5_TimeLeft,1056.816
Pond11IntroTime,18.836951069533825
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.851
Pond11Fish1_PondTime,28.344
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,131
Pond11Fish1_TimeLeft,1028.472
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.783
Pond11Fish2_PondTime,35.711
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,142
Pond11Fish2_TimeLeft,1021.105
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.795
Pond11Fish3_PondTime,43.625
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,153
Pond11Fish3_TimeLeft,1013.191
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.957
Pond11Fish4_PondTime,51.994
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,164
Pond11Fish4_TimeLeft,1004.822
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.93
Pond11Fish5_PondTime,61.028
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,175
Pond11Fish5_TimeLeft,995.788
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,0.993
Pond11Fish6_PondTime,70.894
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,186
Pond11Fish6_TimeLeft,985.922
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.334
Pond11Fish7_PondTime,81.826
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,197
Pond11Fish7_TimeLeft,974.99
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.753
Pond11Fish8_PondTime,94.194
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,208
Pond11Fish8_TimeLeft,962.622
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,1.473
Pond11Fish9_PondTime,108.561
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,219
Pond11Fish9_TimeLeft,948.255
Pond11_Type,N
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,12
Pond11Fish10_CatchTime,0.863
Pond11Fish10_PondTime,125.928
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,230
Pond11Fish10_TimeLeft,930.888
Pond11_Type,N
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,15
Pond11Fish11_CatchTime,0.974
Pond11Fish11_PondTime,148.296
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,241
Pond11Fish11_TimeLeft,908.52
Pond11_Type,N
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,20
Pond11Fish12_CatchTime,1.283
Pond11Fish12_PondTime,180.662
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,252
Pond11Fish12_TimeLeft,876.154
Pond11_GiveUpTime,53.999
Pond11_PondTime,234.542
Pond11_PondOutcome,132
Pond11_TotalOutcome,252
Pond11_TimeLeft,822.274
Pond8IntroTime,14.165213666856289
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.849
Pond8Fish1_PondTime,22.387
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,263
Pond8Fish1_TimeLeft,799.887
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,-1
Pond8Fish2_PondTime,28.352
Pond8Fish2_PondOutcome,11
Pond8Fish2_TotalOutcome,263
Pond8Fish2_TimeLeft,793.922
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,-1
Pond8Fish3_PondTime,34.536
Pond8Fish3_PondOutcome,11
Pond8Fish3_TotalOutcome,263
Pond8Fish3_TimeLeft,787.738
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,-1
Pond8Fish4_PondTime,40.969
Pond8Fish4_PondOutcome,11
Pond8Fish4_TotalOutcome,263
Pond8Fish4_TimeLeft,781.305
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,-1
Pond8Fish5_PondTime,47.685
Pond8Fish5_PondOutcome,11
Pond8Fish5_TotalOutcome,263
Pond8Fish5_TimeLeft,774.589
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,0.624
Pond8Fish6_PondTime,54.67
Pond8Fish6_PondOutcome,22
Pond8Fish6_TotalOutcome,274
Pond8Fish6_TimeLeft,767.604
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,2.032
Pond8Fish7_PondTime,62.102
Pond8Fish7_PondOutcome,33
Pond8Fish7_TotalOutcome,285
Pond8Fish7_TimeLeft,760.172
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.394
Pond8Fish8_PondTime,69.921
Pond8Fish8_PondOutcome,44
Pond8Fish8_TotalOutcome,296
Pond8Fish8_TimeLeft,752.353
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,-1
Pond8Fish9_PondTime,78.352
Pond8Fish9_PondOutcome,44
Pond8Fish9_TotalOutcome,296
Pond8Fish9_TimeLeft,743.922
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,0.872
Pond8Fish10_PondTime,87.387
Pond8Fish10_PondOutcome,55
Pond8Fish10_TotalOutcome,307
Pond8Fish10_TimeLeft,734.887
Pond8_Type,N
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,0.705
Pond8Fish11_PondTime,97.254
Pond8Fish11_PondOutcome,66
Pond8Fish11_TotalOutcome,318
Pond8Fish11_TimeLeft,725.02
Pond8_Type,N
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,0.901
Pond8Fish12_PondTime,108.187
Pond8Fish12_PondOutcome,77
Pond8Fish12_TotalOutcome,329
Pond8Fish12_TimeLeft,714.087
Pond8_Type,N
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,0.981
Pond8Fish13_PondTime,120.553
Pond8Fish13_PondOutcome,88
Pond8Fish13_TotalOutcome,340
Pond8Fish13_TimeLeft,701.721
Pond8_Type,N
Pond8Fish14_FishType,green
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.411
Pond8Fish14_PondTime,134.921
Pond8Fish14_PondOutcome,99
Pond8Fish14_TotalOutcome,351
Pond8Fish14_TimeLeft,687.353
Pond8_Type,N
Pond8Fish15_FishType,green
Pond8Fish15_FishLatency,12
Pond8Fish15_CatchTime,1.502
Pond8Fish15_PondTime,152.288
Pond8Fish15_PondOutcome,110
Pond8Fish15_TotalOutcome,362
Pond8Fish15_TimeLeft,669.986
Pond8_Type,N
Pond8Fish16_FishType,green
Pond8Fish16_FishLatency,15
Pond8Fish16_CatchTime,2.031
Pond8Fish16_PondTime,174.703
Pond8Fish16_PondOutcome,121
Pond8Fish16_TotalOutcome,373
Pond8Fish16_TimeLeft,647.571
Pond8_Type,N
Pond8Fish17_FishType,green
Pond8Fish17_FishLatency,20
Pond8Fish17_CatchTime,-1
Pond8Fish17_PondTime,207.119
Pond8Fish17_PondOutcome,121
Pond8Fish17_TotalOutcome,373
Pond8Fish17_TimeLeft,615.155
