,5dda7012670d1a9c1f7b326e
PlayerDetails,5dda7012670d1a9c1f7b326e
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,15
Pond2Type,RD
Pond2FishN,14
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,14
Pond5Type,RD
Pond5FishN,13
Pond6Type,RD
Pond6FishN,16
Pond7Type,RD
Pond7FishN,16
Pond8Type,RD
Pond8FishN,19
Pond9Type,RD
Pond9FishN,12
Pond10Type,RD
Pond10FishN,15
Pond11Type,RD
Pond11FishN,16
Pond12Type,RD
Pond12FishN,12
Date:,Sun Nov 24 2019 15:53:37 GMT+0000 (Greenwich Mean Time)
Pond9_Type,RD
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,0.912
Pond9Fish1_PondTime,7.329
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1192.667
Pond9_Type,RD
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.352
Pond9Fish2_PondTime,15.694
