,fgbgfb
PlayerDetails,fgbgfb
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,30
MissingThreshold,5
RD_GoldFishProbability,0.1
RD_GoldFishOutcome,5
RD_BlueFishProbability,0.2
RD_BlueFishOutcome,4
RD_GreenFishProbability,0
RD_GreenFishOutcome,3
RD_PurpleFishProbability,0.3
RD_PurpleFishOutcome,2
RD_GreyFishProbability,0.4
RD_GreyFishOutcome,1
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,5
RT_BlueFishProbability,0.2
RT_BlueFishOutcome,4
RT_GreenFishProbability,0
RT_GreenFishOutcome,3
RT_PurpleFishProbability,0.3
RT_PurpleFishOutcome,2
RT_GreyFishProbability,0.4
RT_GreyFishOutcome,1
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,3
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,15
Pond2Type,RD
Pond2FishN,15
Pond3Type,RD
Pond3FishN,15
Pond4Type,RD
Pond4FishN,15
Pond5Type,RD
Pond5FishN,15
Pond6Type,RD
Pond6FishN,15
Pond7Type,RD
Pond7FishN,15
Pond8Type,RD
Pond8FishN,15
Pond9Type,RD
Pond9FishN,15
Pond10Type,RD
Pond10FishN,15
Pond11Type,RD
Pond11FishN,15
Pond12Type,RD
Pond12FishN,15
Date:,Wed Sep 25 2019 13:55:33 GMT+0300 (שעון ישראל (קיץ))
Pond1_Type,RD
Pond1Fish1_FishType,gray
Pond1Fish1_FishLatency,2.142857142857143
Pond1Fish1_CatchTime,0.836
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,6.228
Pond1Fish1_PondOutcome,1
Pond1Fish1_TotalOutcome,1
Pond1Fish1_TimeLeft,1191.771
Pond1_Type,RD
Pond1Fish2_FishType,gray
Pond1Fish2_FishLatency,2.3076923076923075
Pond1Fish2_CatchTime,-1
Pond1Fish2_GiveUpTime,0.805
Pond1Fish2_PondTime,10.803
Pond1Fish2_PondOutcome,1
Pond1Fish2_TotalOutcome,1
Pond1Fish2_TimeLeft,1187.196
