,fghfgh
PlayerDetails,fghfgh
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,30
MissingThreshold,5
RD_GoldFishProbability,0.1
RD_GoldFishOutcome,55
RD_BlueFishProbability,0.2
RD_BlueFishOutcome,43
RD_GreenFishProbability,0
RD_GreenFishOutcome,32
RD_PurpleFishProbability,0.3
RD_PurpleFishOutcome,21
RD_GreyFishProbability,0.4
RD_GreyFishOutcome,12
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,22
RT_BlueFishProbability,0.2
RT_BlueFishOutcome,33
RT_GreenFishProbability,0
RT_GreenFishOutcome,55
RT_PurpleFishProbability,0.3
RT_PurpleFishOutcome,2
RT_GreyFishProbability,0.4
RT_GreyFishOutcome,3
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,35
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,15
Pond2Type,N
Pond2FishN,15
Pond3Type,RD
Pond3FishN,15
Pond4Type,RT
Pond4FishN,15
Pond5Type,N
Pond5FishN,15
Pond6Type,N
Pond6FishN,15
Pond7Type,N
Pond7FishN,15
Pond8Type,RT
Pond8FishN,15
Pond9Type,RD
Pond9FishN,15
Pond10Type,N
Pond10FishN,15
Pond11Type,RT
Pond11FishN,15
Pond12Type,RT
Pond12FishN,15
Date:,Thu Sep 26 2019 20:33:07 GMT+0300 (שעון ישראל (קיץ))
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,2
Pond7Fish1_CatchTime,0.771
Pond7Fish1_GiveUpTime,-1
Pond7Fish1_PondTime,6.236
Pond7Fish1_PondOutcome,35
Pond7Fish1_TotalOutcome,35
Pond7Fish1_TimeLeft,1191.752
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,2.142857142857143
Pond7Fish2_CatchTime,-1
Pond7Fish2_GiveUpTime,0.548
Pond7Fish2_PondTime,4.077
Pond7Fish2_PondOutcome,35
Pond7Fish2_TotalOutcome,35
Pond7Fish2_TimeLeft,1187.675
Pond2IntroTime,6.464175905101001
Pond11_Type,RT
Pond11Fish1_FishType,gray
Pond11Fish1_FishLatency,2
Pond11Fish1_CatchTime,1.086
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,16.285
Pond11Fish1_PondOutcome,3
Pond11Fish1_TotalOutcome,38
Pond11Fish1_TimeLeft,1171.39
Pond11_Type,RT
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,2.142857142857143
Pond11Fish2_CatchTime,1.075
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,6.417
Pond11Fish2_PondOutcome,5
Pond11Fish2_TotalOutcome,40
Pond11Fish2_TimeLeft,1164.972
Pond11_Type,RT
Pond11Fish3_FishType,gray
Pond11Fish3_FishLatency,2.3076923076923075
Pond11Fish3_CatchTime,-1
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,9.311
Pond11Fish3_PondOutcome,5
Pond11Fish3_TotalOutcome,40
Pond11Fish3_TimeLeft,1155.66
Pond11_Type,RT
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,2.5
Pond11Fish4_CatchTime,-1
Pond11Fish4_GiveUpTime,0.892
Pond11Fish4_PondTime,5.135
Pond11Fish4_PondOutcome,5
Pond11Fish4_TotalOutcome,40
Pond11Fish4_TimeLeft,1150.524
Pond3IntroTime,5.285104092210531
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,2
Pond5Fish1_CatchTime,-1
Pond5Fish1_GiveUpTime,2.015
Pond5Fish1_PondTime,14.7
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,40
Pond5Fish1_TimeLeft,1135.824
