,taly_2_26.9.19
PlayerDetails,taly_2_26.9.19
GameCompleted,exited
GameTime,300
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0.5
RD_GoldFishOutcome,1
RD_BlueFishProbability,0.5
RD_BlueFishOutcome,2
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.5
RT_PurpleFishOutcome,3
RT_GreyFishProbability,0.5
RT_GreyFishOutcome,4
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,10
Pond2Type,RD
Pond2FishN,10
Pond3Type,RD
Pond3FishN,10
Pond4Type,RT
Pond4FishN,10
Pond5Type,RT
Pond5FishN,10
Pond6Type,RD
Pond6FishN,10
Pond7Type,RT
Pond7FishN,10
Pond8Type,N
Pond8FishN,10
Pond9Type,N
Pond9FishN,10
Pond10Type,N
Pond10FishN,10
Pond11Type,N
Pond11FishN,10
Pond12Type,N
Pond12FishN,10
Date:,Thu Sep 26 2019 11:47:56 GMT+0300 (Israel Daylight Time)
Pond1_Type,RT
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,6.666666666666667
Pond1Fish1_CatchTime,2.022
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,10.768
Pond1Fish1_PondOutcome,3
Pond1Fish1_TotalOutcome,3
Pond1Fish1_TimeLeft,287.229
Pond1_Type,RT
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,7.5
Pond1Fish2_CatchTime,-1
Pond1Fish2_GiveUpTime,0.733
Pond1Fish2_PondTime,21.639
Pond1Fish2_PondOutcome,3
Pond1Fish2_TotalOutcome,3
Pond1Fish2_TimeLeft,276.358
Pond2IntroTime,5.2419392806477845
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,6.666666666666667
Pond2Fish1_CatchTime,1.099
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,41.22
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,14
Pond2Fish1_TimeLeft,256.777
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,7.5
Pond2Fish2_CatchTime,1.627
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,52.821
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,25
Pond2Fish2_TimeLeft,245.176
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,8.571428571428571
Pond2Fish3_CatchTime,-1
Pond2Fish3_GiveUpTime,2.071
Pond2Fish3_PondTime,65.562
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,25
Pond2Fish3_TimeLeft,232.435
