,55c09521fdf99b1b8c34379f
PlayerDetails,55c09521fdf99b1b8c34379f
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 10:20:59 GMT+0100 (Hora de verão da Europa Ocidental)
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.272
Pond7Fish1_GiveUpTime,-1
Pond7Fish1_PondTime,10.358
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,11
Pond7Fish1_TimeLeft,1187.629
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.823
Pond7Fish2_GiveUpTime,-1
Pond7Fish2_PondTime,8.555
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,22
Pond7Fish2_TimeLeft,1179.073
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.906
Pond7Fish3_GiveUpTime,-1
Pond7Fish3_PondTime,8.458
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,33
Pond7Fish3_TimeLeft,1170.615
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.396
Pond7Fish4_GiveUpTime,-1
Pond7Fish4_PondTime,8.771
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,44
Pond7Fish4_TimeLeft,1161.844
Pond7_Type,N
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,2.177
Pond7Fish5_GiveUpTime,-1
Pond7Fish5_PondTime,9.213
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,55
Pond7Fish5_TimeLeft,1152.63
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.048
Pond7Fish6_GiveUpTime,-1
Pond7Fish6_PondTime,9.733
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,66
Pond7Fish6_TimeLeft,1142.897
Pond7_Type,N
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,-1
Pond7Fish7_GiveUpTime,-1
Pond7Fish7_PondTime,10.346
Pond7Fish7_PondOutcome,66
Pond7Fish7_TotalOutcome,66
Pond7Fish7_TimeLeft,1132.55
Pond7_Type,N
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.029
Pond7Fish8_GiveUpTime,-1
Pond7Fish8_PondTime,10.814
Pond7Fish8_PondOutcome,77
Pond7Fish8_TotalOutcome,77
Pond7Fish8_TimeLeft,1121.735
Pond7_Type,N
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.083
Pond7Fish9_GiveUpTime,-1
Pond7Fish9_PondTime,11.67
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,88
Pond7Fish9_TimeLeft,1110.064
Pond7_Type,N
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,2.137
Pond7Fish10_GiveUpTime,-1
Pond7Fish10_PondTime,12.725
Pond7Fish10_PondOutcome,99
Pond7Fish10_TotalOutcome,99
Pond7Fish10_TimeLeft,1097.339
Pond7_Type,N
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,-1
Pond7Fish11_GiveUpTime,2.099
Pond7Fish11_PondTime,13.846
Pond7Fish11_PondOutcome,99
Pond7Fish11_TotalOutcome,99
Pond7Fish11_TimeLeft,1083.467
Pond2IntroTime,19.046769007109106
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.849
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,30.306
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,110
Pond11Fish1_TimeLeft,1053.161
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.08
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,8.285
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,121
Pond11Fish2_TimeLeft,1044.875
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.21
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.092
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,132
Pond11Fish3_TimeLeft,1036.781
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.854
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,8.52
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,143
Pond11Fish4_TimeLeft,1028.261
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.329
Pond11Fish5_GiveUpTime,-1
Pond11Fish5_PondTime,8.769
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,154
Pond11Fish5_TimeLeft,1019.492
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.991
Pond11Fish6_GiveUpTime,-1
Pond11Fish6_PondTime,9.139
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,165
Pond11Fish6_TimeLeft,1010.353
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.277
Pond11Fish7_GiveUpTime,-1
Pond11Fish7_PondTime,9.613
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,176
Pond11Fish7_TimeLeft,1000.739
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.024
Pond11Fish8_GiveUpTime,-1
Pond11Fish8_PondTime,10.151
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,187
Pond11Fish8_TimeLeft,990.588
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.852
Pond11Fish9_GiveUpTime,-1
Pond11Fish9_PondTime,10.809
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,198
Pond11Fish9_TimeLeft,979.778
Pond11_Type,N
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,0.984
Pond11Fish10_GiveUpTime,-1
Pond11Fish10_PondTime,11.662
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,209
Pond11Fish10_TimeLeft,968.115
Pond11_Type,N
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,0.981
Pond11Fish11_GiveUpTime,-1
Pond11Fish11_PondTime,12.673
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,220
Pond11Fish11_TimeLeft,955.441
Pond11_Type,N
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,1.03
Pond11Fish12_GiveUpTime,-1
Pond11Fish12_PondTime,14.122
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,231
Pond11Fish12_TimeLeft,941.318
Pond11_Type,N
Pond11Fish13_FishType,green
