,5a171be30fff620001a6d547
PlayerDetails,5a171be30fff620001a6d547
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 11:04:05 GMT+0100 (İngiltere Yaz Saati)
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.507
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,9.548
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1188.45
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.247
Pond10Fish2_GiveUpTime,-1
Pond10Fish2_PondTime,10.098
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,22
Pond10Fish2_TimeLeft,1178.352
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.622
Pond10Fish3_GiveUpTime,-1
Pond10Fish3_PondTime,10.763
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,33
Pond10Fish3_TimeLeft,1167.589
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.896
Pond10Fish4_GiveUpTime,-1
Pond10Fish4_PondTime,11.583
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,44
Pond10Fish4_TimeLeft,1156.005
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.114
Pond10Fish5_GiveUpTime,-1
Pond10Fish5_PondTime,12.663
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,55
Pond10Fish5_TimeLeft,1143.342
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.098
Pond10Fish6_GiveUpTime,-1
Pond10Fish6_PondTime,14.109
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,66
Pond10Fish6_TimeLeft,1129.233
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.044
Pond10Fish7_GiveUpTime,-1
Pond10Fish7_PondTime,16.086
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,77
Pond10Fish7_TimeLeft,1113.147
Pond10_Type,N
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,0.998
Pond10Fish8_GiveUpTime,-1
Pond10Fish8_PondTime,19.088
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,88
Pond10Fish8_TimeLeft,1094.058
Pond10_Type,N
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,1.171
Pond10Fish9_GiveUpTime,-1
Pond10Fish9_PondTime,24.094
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,99
Pond10Fish9_TimeLeft,1069.964
Pond10_Type,N
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,20
Pond10Fish10_CatchTime,1.177
Pond10Fish10_GiveUpTime,-1
Pond10Fish10_PondTime,34.098
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,110
Pond10Fish10_TimeLeft,1035.865
Pond10_Type,N
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,30
Pond10Fish11_CatchTime,-1
Pond10Fish11_GiveUpTime,37.634
Pond10Fish11_PondTime,35.108
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,110
Pond10Fish11_TimeLeft,1000.756
Pond2IntroTime,16.927288556471467
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.106
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,27.929
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,121
Pond4Fish1_TimeLeft,972.827
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,-1
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,0.997
Pond4Fish2_PondOutcome,11
Pond4Fish2_TotalOutcome,121
