,5ac8fd9f0527ba0001c23ddb
PlayerDetails,5ac8fd9f0527ba0001c23ddb
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 11:22:02 GMT+0200 (hora de verano de Europa central)
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.392
Pond7Fish1_GiveUpTime,-1
Pond7Fish1_PondTime,7.837
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,11
Pond7Fish1_TimeLeft,1190.16
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.811
Pond7Fish2_GiveUpTime,-1
Pond7Fish2_PondTime,8.1
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,22
Pond7Fish2_TimeLeft,1182.06
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.83
Pond7Fish3_GiveUpTime,-1
Pond7Fish3_PondTime,8.381
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,33
Pond7Fish3_TimeLeft,1173.679
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.28
Pond7Fish4_GiveUpTime,-1
Pond7Fish4_PondTime,8.719
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,44
Pond7Fish4_TimeLeft,1164.96
Pond7_Type,N
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.453
Pond7Fish5_GiveUpTime,-1
Pond7Fish5_PondTime,9.097
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,55
Pond7Fish5_TimeLeft,1155.863
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.944
Pond7Fish6_GiveUpTime,-1
Pond7Fish6_PondTime,9.55
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,66
Pond7Fish6_TimeLeft,1146.313
Pond7_Type,N
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.237
Pond7Fish7_GiveUpTime,-1
Pond7Fish7_PondTime,10.098
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,77
Pond7Fish7_TimeLeft,1136.215
Pond7_Type,N
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.15
Pond7Fish8_GiveUpTime,-1
Pond7Fish8_PondTime,10.768
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,88
Pond7Fish8_TimeLeft,1125.447
Pond7_Type,N
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.406
Pond7Fish9_GiveUpTime,-1
Pond7Fish9_PondTime,11.597
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,99
Pond7Fish9_TimeLeft,1113.849
Pond7_Type,N
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.429
Pond7Fish10_GiveUpTime,-1
Pond7Fish10_PondTime,12.667
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,110
Pond7Fish10_TimeLeft,1101.182
Pond7_Type,N
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.651
Pond7Fish11_GiveUpTime,-1
Pond7Fish11_PondTime,14.098
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,121
Pond7Fish11_TimeLeft,1087.084
Pond7_Type,N
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.398
Pond7Fish12_GiveUpTime,-1
Pond7Fish12_PondTime,16.101
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,132
Pond7Fish12_TimeLeft,1070.982
Pond7_Type,N
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,1.443
Pond7Fish13_GiveUpTime,-1
Pond7Fish13_PondTime,19.1
Pond7Fish13_PondOutcome,143
Pond7Fish13_TotalOutcome,143
Pond7Fish13_TimeLeft,1051.882
Pond7_Type,N
Pond7Fish14_FishType,green
Pond7Fish14_FishLatency,15
Pond7Fish14_CatchTime,2.384
Pond7Fish14_GiveUpTime,-1
Pond7Fish14_PondTime,24.097
Pond7Fish14_PondOutcome,154
Pond7Fish14_TotalOutcome,154
Pond7Fish14_TimeLeft,1027.783
Pond7_Type,N
Pond7Fish15_FishType,green
Pond7Fish15_FishLatency,20
Pond7Fish15_CatchTime,-1
Pond7Fish15_GiveUpTime,30.93
Pond7Fish15_PondTime,29.615
Pond7Fish15_PondOutcome,154
