,5ad48c4be70460000154210d
PlayerDetails,5ad48c4be70460000154210d
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 11:26:07 GMT+0200 (heure d’été d’Europe centrale)
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.961
Pond6Fish1_GiveUpTime,-1
Pond6Fish1_PondTime,7.608
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,11
Pond6Fish1_TimeLeft,1190.389
Pond6_Type,N
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.623
Pond6Fish2_GiveUpTime,-1
Pond6Fish2_PondTime,7.848
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,22
Pond6Fish2_TimeLeft,1182.541
Pond6_Type,N
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.825
Pond6Fish3_GiveUpTime,-1
Pond6Fish3_PondTime,8.1
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,33
Pond6Fish3_TimeLeft,1174.441
Pond6_Type,N
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.566
Pond6Fish4_GiveUpTime,-1
Pond6Fish4_PondTime,8.386
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,44
Pond6Fish4_TimeLeft,1166.054
Pond6_Type,N
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.856
Pond6Fish5_GiveUpTime,-1
Pond6Fish5_PondTime,8.716
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,55
Pond6Fish5_TimeLeft,1157.338
Pond6_Type,N
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.893
Pond6Fish6_GiveUpTime,-1
Pond6Fish6_PondTime,9.118
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,66
Pond6Fish6_TimeLeft,1148.22
Pond6_Type,N
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.711
Pond6Fish7_GiveUpTime,-1
Pond6Fish7_PondTime,9.549
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,77
Pond6Fish7_TimeLeft,1138.671
Pond6_Type,N
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.798
Pond6Fish8_GiveUpTime,-1
Pond6Fish8_PondTime,10.1
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,88
Pond6Fish8_TimeLeft,1128.571
Pond6_Type,N
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.9
Pond6Fish9_GiveUpTime,-1
Pond6Fish9_PondTime,10.768
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,99
Pond6Fish9_TimeLeft,1117.803
Pond6_Type,N
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.932
Pond6Fish10_GiveUpTime,-1
Pond6Fish10_PondTime,11.6
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,110
Pond6Fish10_TimeLeft,1106.203
Pond6_Type,N
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,0.83
Pond6Fish11_GiveUpTime,-1
Pond6Fish11_PondTime,12.668
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,121
Pond6Fish11_TimeLeft,1093.535
Pond6_Type,N
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,0.793
Pond6Fish12_GiveUpTime,-1
Pond6Fish12_PondTime,14.099
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,132
Pond6Fish12_TimeLeft,1079.436
Pond6_Type,N
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,-1
Pond6Fish13_GiveUpTime,0.398
Pond6Fish13_PondTime,13.691
Pond6Fish13_PondOutcome,132
Pond6Fish13_TotalOutcome,132
Pond6Fish13_TimeLeft,1065.744
Pond2IntroTime,18.180930365342647
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.774
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,30.46
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,143
Pond5Fish1_TimeLeft,1035.283
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.58
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.1
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,154
Pond5Fish2_TimeLeft,1026.183
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.777
Pond5Fish3_GiveUpTime,-1
Pond5Fish3_PondTime,9.553
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,165
Pond5Fish3_TimeLeft,1016.63
Pond5_Type,N
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.017
Pond5Fish4_GiveUpTime,-1
Pond5Fish4_PondTime,10.098
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,176
Pond5Fish4_TimeLeft,1006.532
Pond5_Type,N
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.8
Pond5Fish5_GiveUpTime,-1
Pond5Fish5_PondTime,10.769
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,187
Pond5Fish5_TimeLeft,995.763
Pond5_Type,N
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.829
Pond5Fish6_GiveUpTime,-1
Pond5Fish6_PondTime,11.6
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,198
Pond5Fish6_TimeLeft,984.163
Pond5_Type,N
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.968
Pond5Fish7_GiveUpTime,-1
Pond5Fish7_PondTime,12.668
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,209
Pond5Fish7_TimeLeft,971.495
Pond5_Type,N
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,-1
Pond5Fish8_GiveUpTime,0.37
Pond5Fish8_PondTime,11.874
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,209
Pond5Fish8_TimeLeft,959.621
Pond3IntroTime,10.194928958080709
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.835
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,21.861
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,220
Pond12Fish1_TimeLeft,937.759
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.626
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.381
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,231
Pond12Fish2_TimeLeft,929.378
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.908
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.719
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,242
Pond12Fish3_TimeLeft,920.659
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.806
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.1
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,253
Pond12Fish4_TimeLeft,911.559
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.884
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.551
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,264
Pond12Fish5_TimeLeft,902.008
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
