,5b9125803e41080001a850e5
PlayerDetails,5b9125803e41080001a850e5
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 12:17:22 GMT+0200 (Ora legale dell’Europa centrale)
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.781
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,9.538
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1188.46
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.96
Pond10Fish2_GiveUpTime,-1
Pond10Fish2_PondTime,10.098
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,22
Pond10Fish2_TimeLeft,1178.361
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.971
Pond10Fish3_GiveUpTime,-1
Pond10Fish3_PondTime,10.752
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,33
Pond10Fish3_TimeLeft,1167.609
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.851
Pond10Fish4_GiveUpTime,-1
Pond10Fish4_PondTime,11.6
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,44
Pond10Fish4_TimeLeft,1156.009
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.696
Pond10Fish5_GiveUpTime,-1
Pond10Fish5_PondTime,12.666
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,55
Pond10Fish5_TimeLeft,1143.343
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.725
Pond10Fish6_GiveUpTime,-1
Pond10Fish6_PondTime,14.099
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,66
Pond10Fish6_TimeLeft,1129.244
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,0.753
Pond10Fish7_GiveUpTime,-1
Pond10Fish7_PondTime,16.102
