,5bf70a27bb5fc800018c61e9
PlayerDetails,5bf70a27bb5fc800018c61e9
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 10:22:22 GMT+0100 (British Summer Time)
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,2.109
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,7.606
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,11
Pond11Fish1_TimeLeft,1190.391
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.484
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,7.848
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,22
Pond11Fish2_TimeLeft,1182.542
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.441
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.099
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,33
Pond11Fish3_TimeLeft,1174.443
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.288
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,8.387
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,44
Pond11Fish4_TimeLeft,1166.056
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.187
Pond11Fish5_GiveUpTime,-1
Pond11Fish5_PondTime,8.714
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,55
Pond11Fish5_TimeLeft,1157.342
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,-1
Pond11Fish6_GiveUpTime,-1
Pond11Fish6_PondTime,9.166
Pond11Fish6_PondOutcome,55
Pond11Fish6_TotalOutcome,55
Pond11Fish6_TimeLeft,1148.176
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,2.391
Pond11Fish7_GiveUpTime,-1
Pond11Fish7_PondTime,9.553
Pond11Fish7_PondOutcome,66
Pond11Fish7_TotalOutcome,66
Pond11Fish7_TimeLeft,1138.623
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.915
Pond11Fish8_GiveUpTime,-1
Pond11Fish8_PondTime,10.098
Pond11Fish8_PondOutcome,77
Pond11Fish8_TotalOutcome,77
Pond11Fish8_TimeLeft,1128.525
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.854
Pond11Fish9_GiveUpTime,-1
Pond11Fish9_PondTime,10.765
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,88
Pond11Fish9_TimeLeft,1117.76
Pond11_Type,N
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.094
Pond11Fish10_GiveUpTime,-1
Pond11Fish10_PondTime,11.601
Pond11Fish10_PondOutcome,99
Pond11Fish10_TotalOutcome,99
Pond11Fish10_TimeLeft,1106.159
Pond11_Type,N
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,0.899
Pond11Fish11_GiveUpTime,-1
Pond11Fish11_PondTime,12.668
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,110
Pond11Fish11_TimeLeft,1093.491
Pond11_Type,N
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,1.022
Pond11Fish12_GiveUpTime,-1
Pond11Fish12_PondTime,14.1
Pond11Fish12_PondOutcome,121
Pond11Fish12_TotalOutcome,121
Pond11Fish12_TimeLeft,1079.391
Pond11_Type,N
Pond11Fish13_FishType,green
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,1.603
Pond11Fish13_GiveUpTime,-1
Pond11Fish13_PondTime,16.097
Pond11Fish13_PondOutcome,132
Pond11Fish13_TotalOutcome,132
Pond11Fish13_TimeLeft,1063.293
Pond11_Type,N
Pond11Fish14_FishType,green
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,1.112
Pond11Fish14_GiveUpTime,-1
Pond11Fish14_PondTime,19.098
Pond11Fish14_PondOutcome,143
Pond11Fish14_TotalOutcome,143
Pond11Fish14_TimeLeft,1044.194
Pond11_Type,N
Pond11Fish15_FishType,green
Pond11Fish15_FishLatency,15
Pond11Fish15_CatchTime,0.94
Pond11Fish15_GiveUpTime,-1
Pond11Fish15_PondTime,24.1
Pond11Fish15_PondOutcome,154
Pond11Fish15_TotalOutcome,154
Pond11Fish15_TimeLeft,1020.094
Pond11_Type,N
Pond11Fish16_FishType,green
Pond11Fish16_FishLatency,20
Pond11Fish16_CatchTime,-1
Pond11Fish16_GiveUpTime,3.12
Pond11Fish16_PondTime,0.358
Pond11Fish16_PondOutcome,154
Pond11Fish16_TotalOutcome,154
Pond11Fish16_TimeLeft,1019.736
Pond2IntroTime,15.637154332362115
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.38
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,26.642
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,165
Pond4Fish1_TimeLeft,993.094
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.751
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.099
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,176
Pond4Fish2_TimeLeft,985.994
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,-1
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,0.465
Pond4Fish3_PondOutcome,22
Pond4Fish3_TotalOutcome,176
Pond4Fish3_TimeLeft,985.529
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
