,5c74467337793100010f8c7c
PlayerDetails,5c74467337793100010f8c7c
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 11:42:51 GMT+0200 (Ora legale dell’Europa centrale)
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,2.094
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,7.442
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,11
Pond4Fish1_TimeLeft,1190.55
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.644
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.693
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,22
Pond4Fish2_TimeLeft,1182.856
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,2.152
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,8.977
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,33
Pond4Fish3_TimeLeft,1173.878
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,-1
Pond4Fish4_GiveUpTime,0.824
Pond4Fish4_PondTime,6.976
Pond4Fish4_PondOutcome,33
Pond4Fish4_TotalOutcome,33
Pond4Fish4_TimeLeft,1166.902
Pond2IntroTime,13.175461448263377
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,-1
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,33.554
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,44
Pond2Fish1_TimeLeft,1133.348
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.609
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.666
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,55
Pond2Fish2_TimeLeft,1123.682
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.472
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.118
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,66
Pond2Fish3_TimeLeft,1113.564
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.911
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.774
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,77
Pond2Fish4_TimeLeft,1102.79
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.342
Pond2Fish5_GiveUpTime,-1
Pond2Fish5_PondTime,11.612
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,88
Pond2Fish5_TimeLeft,1091.178
Pond2_Type,N
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,1.938
Pond2Fish6_GiveUpTime,-1
Pond2Fish6_PondTime,14.111
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,99
Pond2Fish6_TimeLeft,1077.065
Pond2_Type,N
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,2.007
Pond2Fish7_GiveUpTime,-1
Pond2Fish7_PondTime,16.095
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,110
Pond2Fish7_TimeLeft,1060.969
Pond2_Type,N
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,-1
Pond2Fish8_GiveUpTime,0.976
Pond2Fish8_PondTime,14.846
Pond2Fish8_PondOutcome,77
Pond2Fish8_TotalOutcome,110
Pond2Fish8_TimeLeft,1046.122
Pond3IntroTime,14.97066974407062
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,2.748
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,27.963
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,121
Pond12Fish1_TimeLeft,1018.159
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,2.076
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.432
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,132
Pond12Fish2_TimeLeft,1009.726
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,3.34
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.799
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,143
Pond12Fish3_TimeLeft,1000.927
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,2.148
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.148
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,154
Pond12Fish4_TimeLeft,991.779
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,2.344
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.602
