,5ca781fdc9c359000128016d
PlayerDetails,5ca781fdc9c359000128016d
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 10:21:33 GMT+0100 (BST)
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.211
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,9.537
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1188.459
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.31
Pond10Fish2_GiveUpTime,-1
Pond10Fish2_PondTime,10.102
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,22
Pond10Fish2_TimeLeft,1178.357
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.477
Pond10Fish3_GiveUpTime,-1
Pond10Fish3_PondTime,10.768
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,33
Pond10Fish3_TimeLeft,1167.589
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.145
Pond10Fish4_GiveUpTime,-1
Pond10Fish4_PondTime,11.601
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,44
Pond10Fish4_TimeLeft,1155.988
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.523
Pond10Fish5_GiveUpTime,-1
Pond10Fish5_PondTime,12.667
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,55
Pond10Fish5_TimeLeft,1143.321
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.091
Pond10Fish6_GiveUpTime,-1
Pond10Fish6_PondTime,14.102
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,66
Pond10Fish6_TimeLeft,1129.219
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.062
Pond10Fish7_GiveUpTime,-1
Pond10Fish7_PondTime,16.102
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,77
Pond10Fish7_TimeLeft,1113.117
Pond10_Type,N
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.276
Pond10Fish8_GiveUpTime,-1
Pond10Fish8_PondTime,19.102
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,88
Pond10Fish8_TimeLeft,1094.015
Pond10_Type,N
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,1.085
Pond10Fish9_GiveUpTime,-1
Pond10Fish9_PondTime,24.102
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,99
Pond10Fish9_TimeLeft,1069.913
Pond10_Type,N
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,20
Pond10Fish10_CatchTime,2.292
Pond10Fish10_GiveUpTime,-1
Pond10Fish10_PondTime,34.108
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,110
Pond10Fish10_TimeLeft,1035.805
Pond10_Type,N
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,30
Pond10Fish11_CatchTime,-1
Pond10Fish11_GiveUpTime,1.647
Pond10Fish11_PondTime,63.234
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,110
Pond10Fish11_TimeLeft,972.571
Pond2IntroTime,14.806797879282385
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.788
Pond8Fish1_GiveUpTime,-1
Pond8Fish1_PondTime,26.5
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,121
Pond8Fish1_TimeLeft,946.071
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,1.577
Pond8Fish2_GiveUpTime,-1
Pond8Fish2_PondTime,8.388
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,132
Pond8Fish2_TimeLeft,937.683
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,1.239
Pond8Fish3_GiveUpTime,-1
Pond8Fish3_PondTime,8.717
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,143
Pond8Fish3_TimeLeft,928.966
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.739
Pond8Fish4_GiveUpTime,-1
Pond8Fish4_PondTime,9.1
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,154
Pond8Fish4_TimeLeft,919.866
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,1.655
Pond8Fish5_GiveUpTime,-1
Pond8Fish5_PondTime,9.552
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,165
Pond8Fish5_TimeLeft,910.314
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,1.883
Pond8Fish6_GiveUpTime,-1
Pond8Fish6_PondTime,10.101
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,176
Pond8Fish6_TimeLeft,900.213
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,2.082
Pond8Fish7_GiveUpTime,-1
Pond8Fish7_PondTime,10.767
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,187
Pond8Fish7_TimeLeft,889.446
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,1.864
Pond8Fish8_GiveUpTime,-1
Pond8Fish8_PondTime,11.602
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,198
Pond8Fish8_TimeLeft,877.844
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.374
Pond8Fish9_GiveUpTime,-1
Pond8Fish9_PondTime,12.667
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,209
Pond8Fish9_TimeLeft,865.176
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,2.591
Pond8Fish10_GiveUpTime,-1
Pond8Fish10_PondTime,14.101
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,220
Pond8Fish10_TimeLeft,851.074
Pond8_Type,N
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,1.296
Pond8Fish11_GiveUpTime,-1
Pond8Fish11_PondTime,16.101
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,231
Pond8Fish11_TimeLeft,834.973
Pond8_Type,N
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,12
Pond8Fish12_CatchTime,2.757
Pond8Fish12_GiveUpTime,-1
Pond8Fish12_PondTime,19.101
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,242
Pond8Fish12_TimeLeft,815.872
Pond8_Type,N
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,15
Pond8Fish13_CatchTime,-1
Pond8Fish13_GiveUpTime,0.887
Pond8Fish13_PondTime,22.758
Pond8Fish13_PondOutcome,132
Pond8Fish13_TotalOutcome,242
Pond8Fish13_TimeLeft,793.114
Pond3IntroTime,14.82734985416755
Pond1_Type,N
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.299
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,26.03
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,253
Pond1Fish1_TimeLeft,767.084
Pond1_Type,N
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.894
Pond1Fish2_GiveUpTime,-1
Pond1Fish2_PondTime,7.85
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,264
Pond1Fish2_TimeLeft,759.234
Pond1_Type,N
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.178
Pond1Fish3_GiveUpTime,-1
Pond1Fish3_PondTime,8.102
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,275
Pond1Fish3_TimeLeft,751.132
Pond1_Type,N
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.229
Pond1Fish4_GiveUpTime,-1
Pond1Fish4_PondTime,8.4
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,286
Pond1Fish4_TimeLeft,742.732
Pond1_Type,N
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.174
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.718
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,297
Pond1Fish5_TimeLeft,734.014
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.937
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.101
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,308
Pond1Fish6_TimeLeft,724.913
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.012
Pond1Fish7_GiveUpTime,-1
Pond1Fish7_PondTime,9.552
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,319
Pond1Fish7_TimeLeft,715.361
Pond1_Type,N
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.143
Pond1Fish8_GiveUpTime,-1
Pond1Fish8_PondTime,10.1
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,330
Pond1Fish8_TimeLeft,705.261
Pond1_Type,N
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.445
Pond1Fish9_GiveUpTime,-1
