,5d0276e3a6af0c001526c45d
PlayerDetails,5d0276e3a6af0c001526c45d
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 11:21:17 GMT+0200 (Mitteleuropäische Sommerzeit)
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.136
Pond6Fish1_GiveUpTime,-1
Pond6Fish1_PondTime,7.636
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,11
Pond6Fish1_TimeLeft,1190.354
Pond6_Type,N
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.879
Pond6Fish2_GiveUpTime,-1
Pond6Fish2_PondTime,7.873
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,22
Pond6Fish2_TimeLeft,1182.481
Pond6_Type,N
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.105
Pond6Fish3_GiveUpTime,-1
Pond6Fish3_PondTime,8.126
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,33
Pond6Fish3_TimeLeft,1174.354
Pond6_Type,N
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.232
Pond6Fish4_GiveUpTime,-1
Pond6Fish4_PondTime,8.413
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,44
Pond6Fish4_TimeLeft,1165.94
Pond6_Type,N
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,1.05
Pond6Fish5_GiveUpTime,-1
Pond6Fish5_PondTime,8.751
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,55
Pond6Fish5_TimeLeft,1157.189
Pond6_Type,N
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.675
Pond6Fish6_GiveUpTime,-1
Pond6Fish6_PondTime,9.122
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,66
Pond6Fish6_TimeLeft,1148.067
Pond6_Type,N
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,-1
Pond6Fish7_GiveUpTime,0.612
Pond6Fish7_PondTime,7.52
Pond6Fish7_PondOutcome,66
Pond6Fish7_TotalOutcome,66
Pond6Fish7_TimeLeft,1140.546
Pond2IntroTime,16.146800590213388
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.325
Pond3Fish1_GiveUpTime,-1
Pond3Fish1_PondTime,27.271
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,77
Pond3Fish1_TimeLeft,1113.275
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.095
Pond3Fish2_GiveUpTime,-1
Pond3Fish2_PondTime,7.642
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,88
Pond3Fish2_TimeLeft,1105.633
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.774
Pond3Fish3_GiveUpTime,-1
Pond3Fish3_PondTime,7.875
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,99
Pond3Fish3_TimeLeft,1097.758
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.884
Pond3Fish4_GiveUpTime,-1
Pond3Fish4_PondTime,8.144
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,110
Pond3Fish4_TimeLeft,1089.614
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.96
Pond3Fish5_GiveUpTime,-1
Pond3Fish5_PondTime,8.405
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,121
Pond3Fish5_TimeLeft,1081.209
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.737
Pond3Fish6_GiveUpTime,-1
Pond3Fish6_PondTime,8.738
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,132
Pond3Fish6_TimeLeft,1072.471
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.682
Pond3Fish7_GiveUpTime,-1
Pond3Fish7_PondTime,9.113
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,143
Pond3Fish7_TimeLeft,1063.358
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.795
Pond3Fish8_GiveUpTime,-1
Pond3Fish8_PondTime,9.574
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,154
Pond3Fish8_TimeLeft,1053.784
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,-1
Pond3Fish9_GiveUpTime,0.494
Pond3Fish9_PondTime,7.756
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,154
Pond3Fish9_TimeLeft,1046.028
Pond3IntroTime,15.131733291782439
Pond5_Type,N
