,5d262da76bd66700172661e1
PlayerDetails,5d262da76bd66700172661e1
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 11:22:26 GMT+0200 (czas środkowoeuropejski letni)
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.815
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,8.693
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,11
Pond5Fish1_TimeLeft,1189.304
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,-1
Pond5Fish2_GiveUpTime,0.637
Pond5Fish2_PondTime,6.756
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,11
Pond5Fish2_TimeLeft,1182.547
Pond2IntroTime,13.521839897148311
Pond1_Type,N
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.029
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,24.695
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,22
Pond1Fish1_TimeLeft,1157.851
Pond1_Type,N
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.671
Pond1Fish2_GiveUpTime,-1
Pond1Fish2_PondTime,7.837
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,33
Pond1Fish2_TimeLeft,1150.014
Pond1_Type,N
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.868
Pond1Fish3_GiveUpTime,-1
Pond1Fish3_PondTime,8.088
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,44
Pond1Fish3_TimeLeft,1141.926
Pond1_Type,N
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.885
Pond1Fish4_GiveUpTime,-1
Pond1Fish4_PondTime,8.372
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,55
Pond1Fish4_TimeLeft,1133.554
Pond1_Type,N
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.635
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.7
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,66
Pond1Fish5_TimeLeft,1124.854
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.684
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.088
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,77
Pond1Fish6_TimeLeft,1115.766
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,-1
Pond1Fish7_GiveUpTime,0.517
Pond1Fish7_PondTime,7.075
Pond1Fish7_PondOutcome,66
Pond1Fish7_TotalOutcome,77
Pond1Fish7_TimeLeft,1108.691
Pond3IntroTime,10.983554450795054
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.628
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,22.631
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,88
Pond12Fish1_TimeLeft,1086.06
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.7
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.371
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,99
Pond12Fish2_TimeLeft,1077.689
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.623
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.7
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,110
Pond12Fish3_TimeLeft,1068.989
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.51
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.089
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,121
Pond12Fish4_TimeLeft,1059.9
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.754
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.54
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,132
Pond12Fish5_TimeLeft,1050.36
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.674
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.092
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,143
Pond12Fish6_TimeLeft,1040.268
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,-1
Pond12Fish7_GiveUpTime,0.562
Pond12Fish7_PondTime,8.398
Pond12Fish7_PondOutcome,66
Pond12Fish7_TotalOutcome,143
Pond12Fish7_TimeLeft,1031.87
Pond4IntroTime,19.515967189799994
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.693
Pond6Fish1_GiveUpTime,-1
Pond6Fish1_PondTime,30.695
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,154
Pond6Fish1_TimeLeft,1001.175
Pond6_Type,N
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.855
Pond6Fish2_GiveUpTime,-1
Pond6Fish2_PondTime,7.837
Pond6Fish2_PondOutcome,22
