,5d4d53b6f20feb00180b594a
PlayerDetails,5d4d53b6f20feb00180b594a
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 11:50:02 GMT+0200 (Mitteleuropäische Sommerzeit)
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.625
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,8.104
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,11
Pond12Fish1_TimeLeft,1189.893
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.311
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.39
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,22
Pond12Fish2_TimeLeft,1181.503
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.426
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.722
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,33
Pond12Fish3_TimeLeft,1172.781
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,-1
Pond12Fish4_GiveUpTime,1.831
Pond12Fish4_PondTime,8.98
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,33
Pond12Fish4_TimeLeft,1163.801
Pond2IntroTime,10.044671758078039
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.252
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,23.181
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,44
Pond10Fish1_TimeLeft,1140.619
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.6
Pond10Fish2_GiveUpTime,-1
Pond10Fish2_PondTime,10.118
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,55
Pond10Fish2_TimeLeft,1130.501
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.594
Pond10Fish3_GiveUpTime,-1
Pond10Fish3_PondTime,10.779
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,66
Pond10Fish3_TimeLeft,1119.722
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,-1
Pond10Fish4_GiveUpTime,0.981
Pond10Fish4_PondTime,10.551
Pond10Fish4_PondOutcome,33
Pond10Fish4_TotalOutcome,66
Pond10Fish4_TimeLeft,1109.17
Pond3IntroTime,16.534877317026258
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.29
Pond5Fish1_GiveUpTime,-1
Pond5Fish1_PondTime,28.84
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,77
Pond5Fish1_TimeLeft,1080.33
Pond5_Type,N
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.444
Pond5Fish2_GiveUpTime,-1
Pond5Fish2_PondTime,9.124
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,88
Pond5Fish2_TimeLeft,1071.206
Pond5_Type,N
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.466
