,5d5d77d21089780001664f53
PlayerDetails,5d5d77d21089780001664f53
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 11:20:13 GMT+0200 (Midden-Europese zomertijd)
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.844
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,7.414
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,11
Pond4Fish1_TimeLeft,1190.585
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.684
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.616
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,22
Pond4Fish2_TimeLeft,1182.969
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.542
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.84
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,33
Pond4Fish3_TimeLeft,1175.129
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.823
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,8.09
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,44
Pond4Fish4_TimeLeft,1167.039
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.012
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.371
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,55
Pond4Fish5_TimeLeft,1158.668
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.007
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,8.702
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,66
Pond4Fish6_TimeLeft,1149.966
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,0.893
Pond4Fish7_GiveUpTime,-1
Pond4Fish7_PondTime,9.086
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,77
Pond4Fish7_TimeLeft,1140.88
Pond4_Type,N
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.853
Pond4Fish8_GiveUpTime,-1
Pond4Fish8_PondTime,9.546
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,88
Pond4Fish8_TimeLeft,1131.334
Pond4_Type,N
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.48
Pond4Fish9_GiveUpTime,-1
Pond4Fish9_PondTime,10.09
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,99
Pond4Fish9_TimeLeft,1121.244
Pond4_Type,N
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,-1
Pond4Fish10_GiveUpTime,1.205
Pond4Fish10_PondTime,9.372
Pond4Fish10_PondOutcome,99
Pond4Fish10_TotalOutcome,99
Pond4Fish10_TimeLeft,1111.872
Pond2IntroTime,18.635387003887445
Pond1_Type,N
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.037
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,29.815
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,110
Pond1Fish1_TimeLeft,1082.057
Pond1_Type,N
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.638
Pond1Fish2_GiveUpTime,-1
Pond1Fish2_PondTime,7.839
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,121
Pond1Fish2_TimeLeft,1074.218
Pond1_Type,N
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.74
Pond1Fish3_GiveUpTime,-1
Pond1Fish3_PondTime,8.089
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,132
Pond1Fish3_TimeLeft,1066.129
Pond1_Type,N
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.089
Pond1Fish4_GiveUpTime,-1
Pond1Fish4_PondTime,8.372
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,143
Pond1Fish4_TimeLeft,1057.757
Pond1_Type,N
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.335
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.706
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,154
Pond1Fish5_TimeLeft,1049.051
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.994
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.089
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,165
Pond1Fish6_TimeLeft,1039.962
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.979
Pond1Fish7_GiveUpTime,-1
Pond1Fish7_PondTime,9.54
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,176
Pond1Fish7_TimeLeft,1030.422
Pond1_Type,N
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.716
Pond1Fish8_GiveUpTime,-1
Pond1Fish8_PondTime,10.091
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,187
Pond1Fish8_TimeLeft,1020.331
Pond1_Type,N
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.933
Pond1Fish9_GiveUpTime,-1
Pond1Fish9_PondTime,10.753
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,198
Pond1Fish9_TimeLeft,1009.578
Pond1_Type,N
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.907
Pond1Fish10_GiveUpTime,-1
Pond1Fish10_PondTime,11.59
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,209
Pond1Fish10_TimeLeft,997.988
Pond1_Type,N
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,-1
Pond1Fish11_GiveUpTime,0.734
Pond1Fish11_PondTime,10.795
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,209
Pond1Fish11_TimeLeft,987.193
Pond3IntroTime,14.004479895811528
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.977
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,27.114
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,220
Pond10Fish1_TimeLeft,960.079
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.093
Pond10Fish2_GiveUpTime,-1
Pond10Fish2_PondTime,10.088
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,231
Pond10Fish2_TimeLeft,949.991
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.795
Pond10Fish3_GiveUpTime,-1
Pond10Fish3_PondTime,10.753
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,242
Pond10Fish3_TimeLeft,939.238
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.067
Pond10Fish4_GiveUpTime,-1
Pond10Fish4_PondTime,11.589
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,253
Pond10Fish4_TimeLeft,927.649
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.947
Pond10Fish5_GiveUpTime,-1
Pond10Fish5_PondTime,12.656
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,264
Pond10Fish5_TimeLeft,914.992
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.788
Pond10Fish6_GiveUpTime,-1
Pond10Fish6_PondTime,14.086
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,275
Pond10Fish6_TimeLeft,900.906
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,-1
Pond10Fish7_GiveUpTime,0.938
Pond10Fish7_PondTime,14.16
Pond10Fish7_PondOutcome,66
Pond10Fish7_TotalOutcome,275
Pond10Fish7_TimeLeft,886.745
Pond4IntroTime,10.784674063324928
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.815
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,22.438
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,286
Pond12Fish1_TimeLeft,864.307
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.045
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.371
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,297
Pond12Fish2_TimeLeft,855.936
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.078
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.709
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,308
Pond12Fish3_TimeLeft,847.227
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.668
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.087
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,319
Pond12Fish4_TimeLeft,838.14
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.867
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.543
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,330
Pond12Fish5_TimeLeft,828.597
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.285
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.086
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,341
Pond12Fish6_TimeLeft,818.511
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.908
Pond12Fish7_GiveUpTime,-1
Pond12Fish7_PondTime,10.755
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,352
Pond12Fish7_TimeLeft,807.755
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.875
Pond12Fish8_GiveUpTime,-1
Pond12Fish8_PondTime,11.588
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,363
Pond12Fish8_TimeLeft,796.167
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.977
Pond12Fish9_GiveUpTime,-1
Pond12Fish9_PondTime,12.663
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,374
Pond12Fish9_TimeLeft,783.504
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.132
Pond12Fish10_GiveUpTime,-1
Pond12Fish10_PondTime,14.089
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,385
Pond12Fish10_TimeLeft,769.415
Pond12_Type,N
