,5d6688676ddde4001a0efe43
PlayerDetails,5d6688676ddde4001a0efe43
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 11:44:51 GMT+0200 (Ora legale dell’Europa centrale)
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.114
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,9.141
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,11
Pond2Fish1_TimeLeft,1188.849
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.516
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.604
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,22
Pond2Fish2_TimeLeft,1179.244
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.174
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.152
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,33
Pond2Fish3_TimeLeft,1169.092
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.021
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.799
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,44
Pond2Fish4_TimeLeft,1158.293
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,-1
Pond2Fish5_GiveUpTime,0.913
Pond2Fish5_PondTime,9.875
Pond2Fish5_PondOutcome,44
Pond2Fish5_TotalOutcome,44
Pond2Fish5_TimeLeft,1148.418
Pond2IntroTime,19.91143873659894
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.055
Pond6Fish1_GiveUpTime,-1
Pond6Fish1_PondTime,31.188
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,55
Pond6Fish1_TimeLeft,1117.23
Pond6_Type,N
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.275
Pond6Fish2_GiveUpTime,-1
Pond6Fish2_PondTime,7.904
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,66
Pond6Fish2_TimeLeft,1109.325
Pond6_Type,N
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.985
Pond6Fish3_GiveUpTime,-1
Pond6Fish3_PondTime,8.13
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,77
Pond6Fish3_TimeLeft,1101.194
Pond6_Type,N
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.971
Pond6Fish4_GiveUpTime,-1
Pond6Fish4_PondTime,8.468
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,88
Pond6Fish4_TimeLeft,1092.726
Pond6_Type,N
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,1.052
Pond6Fish5_GiveUpTime,-1
Pond6Fish5_PondTime,8.75
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,99
Pond6Fish5_TimeLeft,1083.976
Pond6_Type,N
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.092
Pond6Fish6_GiveUpTime,-1
Pond6Fish6_PondTime,9.175
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,110
Pond6Fish6_TimeLeft,1074.801
Pond6_Type,N
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.137
Pond6Fish7_GiveUpTime,-1
Pond6Fish7_PondTime,9.615
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,121
Pond6Fish7_TimeLeft,1065.186
Pond6_Type,N
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.259
Pond6Fish8_GiveUpTime,-1
Pond6Fish8_PondTime,10.156
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,132
Pond6Fish8_TimeLeft,1055.03
Pond6_Type,N
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.902
Pond6Fish9_GiveUpTime,-1
Pond6Fish9_PondTime,10.835
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,143
Pond6Fish9_TimeLeft,1044.195
Pond6_Type,N
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.951
Pond6Fish10_GiveUpTime,-1
Pond6Fish10_PondTime,11.646
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,154
Pond6Fish10_TimeLeft,1032.548
Pond6_Type,N
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,-1
Pond6Fish11_GiveUpTime,0.736
Pond6Fish11_PondTime,10.76
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,154
Pond6Fish11_TimeLeft,1021.788
Pond3IntroTime,14.447215907275677
Pond1_Type,N
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.67
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,25.749
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,165
Pond1Fish1_TimeLeft,996.039
Pond1_Type,N
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.941
Pond1Fish2_GiveUpTime,-1
Pond1Fish2_PondTime,7.881
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,176
Pond1Fish2_TimeLeft,988.158
Pond1_Type,N
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.014
Pond1Fish3_GiveUpTime,-1
Pond1Fish3_PondTime,8.143
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,187
Pond1Fish3_TimeLeft,980.014
Pond1_Type,N
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.04
Pond1Fish4_GiveUpTime,-1
Pond1Fish4_PondTime,8.431
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,198
Pond1Fish4_TimeLeft,971.583
Pond1_Type,N
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.912
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.749
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,209
Pond1Fish5_TimeLeft,962.834
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.961
