,5d8d781cb56ca20018605176
PlayerDetails,5d8d781cb56ca20018605176
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 19:25:49 GMT+1000 (Australian Eastern Standard Time)
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.509
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,7.419
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,11
Pond4Fish1_TimeLeft,1190.577
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.769
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.631
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,22
Pond4Fish2_TimeLeft,1182.945
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.323
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.849
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,33
Pond4Fish3_TimeLeft,1175.095
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.863
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,8.105
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,44
Pond4Fish4_TimeLeft,1166.99
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.295
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.376
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,55
Pond4Fish5_TimeLeft,1158.613
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,-1
Pond4Fish6_GiveUpTime,3.674
Pond4Fish6_PondTime,1.263
Pond4Fish6_PondOutcome,55
Pond4Fish6_TotalOutcome,55
Pond4Fish6_TimeLeft,1157.35
Pond2IntroTime,17.321706535294652
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.947
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,30.453
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,66
Pond10Fish1_TimeLeft,1126.897
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.366
Pond10Fish2_GiveUpTime,-1
Pond10Fish2_PondTime,10.098
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,77
Pond10Fish2_TimeLeft,1116.798
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.285
Pond10Fish3_GiveUpTime,-1
Pond10Fish3_PondTime,10.768
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,88
Pond10Fish3_TimeLeft,1106.03
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.697
Pond10Fish4_GiveUpTime,-1
Pond10Fish4_PondTime,11.599
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,99
Pond10Fish4_TimeLeft,1094.431
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.886
Pond10Fish5_GiveUpTime,-1
Pond10Fish5_PondTime,12.664
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,110
Pond10Fish5_TimeLeft,1081.766
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.135
