,taly27.9
PlayerDetails,taly27.9
GameCompleted,finished
GameTime,120
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0.5
RD_GoldFishOutcome,1
RD_BlueFishProbability,0.5
RD_BlueFishOutcome,2
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,1
RT_GoldFishOutcome,0
RT_BlueFishProbability,1
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.6
RT_PurpleFishOutcome,4
RT_GreyFishProbability,0.4
RT_GreyFishOutcome,3
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,20
Pond2Type,N
Pond2FishN,10
Pond3Type,RD
Pond3FishN,10
Pond4Type,RT
Pond4FishN,20
Pond5Type,N
Pond5FishN,10
Pond6Type,N
Pond6FishN,20
Pond7Type,N
Pond7FishN,10
Pond8Type,RT
Pond8FishN,20
Pond9Type,RD
Pond9FishN,10
Pond10Type,N
Pond10FishN,20
Pond11Type,RT
Pond11FishN,10
Pond12Type,RT
Pond12FishN,20
Date:,Fri Sep 27 2019 08:21:44 GMT+0300 (Israel Daylight Time)
Pond1_Type,RT
Pond1Fish1_FishType,golden
Pond1Fish1_FishLatency,3
Pond1Fish1_CatchTime,0.73
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,7.263
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,0
Pond1Fish1_TimeLeft,110.733
Pond1_Type,RT
Pond1Fish2_FishType,golden
Pond1Fish2_FishLatency,3.1578947368421053
Pond1Fish2_CatchTime,1.3
Pond1Fish2_GiveUpTime,-1
Pond1Fish2_PondTime,7.447
Pond1Fish2_PondOutcome,0
Pond1Fish2_TotalOutcome,0
Pond1Fish2_TimeLeft,103.286
Pond1_Type,RT
Pond1Fish3_FishType,golden
Pond1Fish3_FishLatency,3.3333333333333335
Pond1Fish3_CatchTime,0.994
Pond1Fish3_GiveUpTime,-1
Pond1Fish3_PondTime,7.649
Pond1Fish3_PondOutcome,0
Pond1Fish3_TotalOutcome,0
Pond1Fish3_TimeLeft,95.637
Pond1_Type,RT
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,3.5294117647058822
Pond1Fish4_CatchTime,1.102
Pond1Fish4_GiveUpTime,-1
Pond1Fish4_PondTime,7.872
Pond1Fish4_PondOutcome,0
Pond1Fish4_TotalOutcome,0
Pond1Fish4_TimeLeft,87.765
Pond1_Type,RT
Pond1Fish5_FishType,golden
Pond1Fish5_FishLatency,3.75
Pond1Fish5_CatchTime,0.898
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.107
Pond1Fish5_PondOutcome,0
Pond1Fish5_TotalOutcome,0
Pond1Fish5_TimeLeft,79.658
Pond1_Type,RT
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,4
Pond1Fish6_CatchTime,1.211
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,8.392
Pond1Fish6_PondOutcome,0
Pond1Fish6_TotalOutcome,0
Pond1Fish6_TimeLeft,71.265
Pond1_Type,RT
Pond1Fish7_FishType,golden
Pond1Fish7_FishLatency,4.285714285714286
Pond1Fish7_CatchTime,1.455
Pond1Fish7_GiveUpTime,-1
Pond1Fish7_PondTime,8.723
Pond1Fish7_PondOutcome,0
Pond1Fish7_TotalOutcome,0
Pond1Fish7_TimeLeft,62.542
Pond1_Type,RT
Pond1Fish8_FishType,golden
Pond1Fish8_FishLatency,4.615384615384615
Pond1Fish8_CatchTime,-1
Pond1Fish8_GiveUpTime,0.78
Pond1Fish8_PondTime,7.097
Pond1Fish8_PondOutcome,0
Pond1Fish8_TotalOutcome,0
Pond1Fish8_TimeLeft,55.445
Pond2IntroTime,5.744675915222615
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,6
Pond2Fish1_CatchTime,1.125
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,20.121
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,11
Pond2Fish1_TimeLeft,35.324
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,6.666666666666667
Pond2Fish2_CatchTime,1.174
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,11.593
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,22
Pond2Fish2_TimeLeft,23.731
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,7.5
Pond2Fish3_CatchTime,2.066
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,12.666
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,33
Pond2Fish3_TimeLeft,11.063
