,taly4
PlayerDetails,taly4
GameCompleted,finished
GameTime,120
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0.5
RD_GoldFishOutcome,1
RD_BlueFishProbability,0.5
RD_BlueFishOutcome,2
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.5
RT_PurpleFishOutcome,4
RT_GreyFishProbability,0.5
RT_GreyFishOutcome,3
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,20
Pond2Type,N
Pond2FishN,10
Pond3Type,RD
Pond3FishN,10
Pond4Type,RT
Pond4FishN,20
Pond5Type,N
Pond5FishN,10
Pond6Type,N
Pond6FishN,20
Pond7Type,N
Pond7FishN,10
Pond8Type,RT
Pond8FishN,20
Pond9Type,RD
Pond9FishN,10
Pond10Type,N
Pond10FishN,20
Pond11Type,RT
Pond11FishN,10
Pond12Type,RT
Pond12FishN,20
Date:,Fri Sep 27 2019 08:24:39 GMT+0300 (Israel Daylight Time)
Pond4_Type,RT
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3
Pond4Fish1_CatchTime,1.025
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,7.251
Pond4Fish1_PondOutcome,4
Pond4Fish1_TotalOutcome,4
Pond4Fish1_TimeLeft,110.745
Pond4_Type,RT
Pond4Fish2_FishType,gray
Pond4Fish2_FishLatency,3.1578947368421053
Pond4Fish2_CatchTime,1.475
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.436
Pond4Fish2_PondOutcome,7
Pond4Fish2_TotalOutcome,7
Pond4Fish2_TimeLeft,103.309
Pond4_Type,RT
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.3333333333333335
Pond4Fish3_CatchTime,1.072
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.628
Pond4Fish3_PondOutcome,11
Pond4Fish3_TotalOutcome,11
Pond4Fish3_TimeLeft,95.68
Pond4_Type,RT
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,3.5294117647058822
Pond4Fish4_CatchTime,1.192
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,7.852
Pond4Fish4_PondOutcome,15
Pond4Fish4_TotalOutcome,15
Pond4Fish4_TimeLeft,87.827
Pond4_Type,RT
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,3.75
Pond4Fish5_CatchTime,1.443
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.107
Pond4Fish5_PondOutcome,18
Pond4Fish5_TotalOutcome,18
Pond4Fish5_TimeLeft,79.719
Pond4_Type,RT
Pond4Fish6_FishType,gray
Pond4Fish6_FishLatency,4
Pond4Fish6_CatchTime,-1
Pond4Fish6_GiveUpTime,0.827
Pond4Fish6_PondTime,6.725
Pond4Fish6_PondOutcome,18
Pond4Fish6_TotalOutcome,18
Pond4Fish6_TimeLeft,72.994
Pond2IntroTime,6.725830277428031
Pond1_Type,RT
Pond1Fish1_FishType,gray
Pond1Fish1_FishLatency,3
Pond1Fish1_CatchTime,-1
Pond1Fish1_GiveUpTime,0.934
Pond1Fish1_PondTime,16.457
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,18
Pond1Fish1_TimeLeft,56.537
Pond3IntroTime,6.906074215192348
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3
Pond10Fish1_CatchTime,1.318
Pond10Fish1_GiveUpTime,-1
Pond10Fish1_PondTime,17.775
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,29
Pond10Fish1_TimeLeft,38.761
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.1578947368421053
Pond10Fish2_CatchTime,1.713
Pond10Fish2_GiveUpTime,-1
Pond10Fish2_PondTime,7.436
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,40
Pond10Fish2_TimeLeft,31.325
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.3333333333333335
Pond10Fish3_CatchTime,-1
Pond10Fish3_GiveUpTime,5.094
Pond10Fish3_PondTime,3.098
Pond10Fish3_PondOutcome,22
Pond10Fish3_TotalOutcome,40
Pond10Fish3_TimeLeft,28.227
Pond4IntroTime,6.916205764748156
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3
Pond6Fish1_CatchTime,-1
Pond6Fish1_GiveUpTime,0.799
Pond6Fish1_PondTime,16.103
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,40
Pond6Fish1_TimeLeft,12.123
Pond5IntroTime,5.96796833910048
