,56cf6e8d31a5bc0006e1cdf5
PlayerDetails,56cf6e8d31a5bc0006e1cdf5
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 14:35:59 GMT+0000 (Greenwich Mean Time)
Pond2_Type,RD
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,5.323
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,0
Pond2Fish1_TimeLeft,1194.658
Pond2_Type,RD
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.596
Pond2Fish2_PondTime,11.268
Pond2Fish2_PondOutcome,12
Pond2Fish2_TotalOutcome,12
Pond2Fish2_TimeLeft,1188.713
Pond2_Type,RD
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.491
Pond2Fish3_PondTime,17.428
Pond2Fish3_PondOutcome,24
Pond2Fish3_TotalOutcome,24
Pond2Fish3_TimeLeft,1182.552
Pond2_Type,RD
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.3
Pond2Fish4_PondTime,23.84
Pond2Fish4_PondOutcome,36
Pond2Fish4_TotalOutcome,36
Pond2Fish4_TimeLeft,1176.141
Pond2_Type,RD
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4
