,598783dc23640f00010e593e
PlayerDetails,598783dc23640f00010e593e
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 14:07:27 GMT+0000 (Greenwich Mean Time)
Pond4_Type,RD
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,-1
Pond4Fish1_PondTime,5.262
Pond4Fish1_PondOutcome,0
Pond4Fish1_TotalOutcome,0
Pond4Fish1_TimeLeft,1194.737
Pond4_Type,RD
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.167
Pond4Fish2_PondTime,11.177
Pond4Fish2_PondOutcome,12
Pond4Fish2_TotalOutcome,12
Pond4Fish2_TimeLeft,1188.821
Pond4_Type,RD
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.323
Pond4Fish3_PondTime,17.301
Pond4Fish3_PondOutcome,24
Pond4Fish3_TotalOutcome,24
Pond4Fish3_TimeLeft,1182.698
Pond4_Type,RD
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.266
Pond4Fish4_PondTime,23.679
Pond4Fish4_PondOutcome,36
Pond4Fish4_TotalOutcome,36
Pond4Fish4_TimeLeft,1176.32
Pond4_Type,RD
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.446
Pond4Fish5_PondTime,30.348
Pond4Fish5_PondOutcome,48
Pond4Fish5_TotalOutcome,48
Pond4Fish5_TimeLeft,1169.651
Pond4_Type,RD
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.544
Pond4Fish6_PondTime,37.338
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,60
Pond4Fish6_TimeLeft,1162.661
Pond4_Type,RD
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.161
Pond4Fish7_PondTime,44.701
Pond4Fish7_PondOutcome,72
Pond4Fish7_TotalOutcome,72
