,59f11182c0d35a0001295878
PlayerDetails,59f11182c0d35a0001295878
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 14:05:09 GMT+0000 (Greenwich Mean Time)
Pond12_Type,RD
Pond12Fish1_FishType,gray
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.55
Pond12Fish1_PondTime,5.888
Pond12Fish1_PondOutcome,2
Pond12Fish1_TotalOutcome,2
Pond12Fish1_TimeLeft,1194.102
Pond12_Type,RD
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.87
Pond12Fish2_PondTime,12.546
Pond12Fish2_PondOutcome,14
Pond12Fish2_TotalOutcome,14
Pond12Fish2_TimeLeft,1187.443
Pond12_Type,RD
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.836
Pond12Fish3_PondTime,19.542
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,26
Pond12Fish3_TimeLeft,1180.447
Pond12_Type,RD
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.796
Pond12Fish4_PondTime,26.909
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,38
Pond12Fish4_TimeLeft,1173.08
Pond12_Type,RD
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.734
Pond12Fish5_PondTime,34.731
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,50
Pond12Fish5_TimeLeft,1165.259
Pond12_Type,RD
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.483
Pond12Fish6_PondTime,43.098
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,62
Pond12Fish6_TimeLeft,1156.892
Pond12_Type,RD
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.901
Pond12Fish7_PondTime,52.129
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,74
Pond12Fish7_TimeLeft,1147.861
Pond12_Type,RD
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.941
Pond12Fish8_PondTime,62
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,86
Pond12Fish8_TimeLeft,1137.989
Pond12_Type,RD
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.934
Pond12Fish9_PondTime,72.945
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,98
Pond12Fish9_TimeLeft,1127.044
Pond12_Type,RD
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,0.952
Pond12Fish10_PondTime,85.325
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,110
Pond12Fish10_TimeLeft,1114.665
Pond12_Type,RD
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,0.882
Pond12Fish11_PondTime,99.698
Pond12Fish11_PondOutcome,122
