,5b222aff59f9620001c109cb
PlayerDetails,5b222aff59f9620001c109cb
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 17:54:27 GMT+0200 (Eastern European Standard Time)
Pond3_Type,RD
Pond3Fish1_FishType,gray
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.806
Pond3Fish1_PondTime,6.635
Pond3Fish1_PondOutcome,2
Pond3Fish1_TotalOutcome,2
Pond3Fish1_TimeLeft,1193.353
Pond3_Type,RD
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.283
Pond3Fish2_PondTime,14.034
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,14
Pond3Fish2_TimeLeft,1185.955
Pond3_Type,RD
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.139
Pond3Fish3_PondTime,21.912
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,26
Pond3Fish3_TimeLeft,1178.077
Pond3_Type,RD
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.283
Pond3Fish4_PondTime,30.34
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,38
Pond3Fish4_TimeLeft,1169.649
Pond3_Type,RD
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.184
Pond3Fish5_PondTime,39.462
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,50
Pond3Fish5_TimeLeft,1160.527
Pond3_GiveUpTime,1.3
Pond3_PondTime,40.571
Pond3_PondOutcome,50
Pond3_TotalOutcome,50
Pond3_TimeLeft,1159.417
Pond5IntroTime,11.251484549138695
Pond5_Type,RD
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.086
Pond5Fish1_PondTime,20.071
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,62
Pond5Fish1_TimeLeft,1139.345
Pond5_Type,RD
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.06
Pond5Fish2_PondTime,26.479
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,74
Pond5Fish2_TimeLeft,1132.938
Pond5_Type,RD
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
