,5b90b9031bfa0e000164da8d
PlayerDetails,5b90b9031bfa0e000164da8d
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 09:26:56 GMT-0500 (Eastern Standard Time)
Pond2_Type,RD
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,5.246
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,0
Pond2Fish1_TimeLeft,1194.752
Pond2_Type,RD
Pond2Fish2_FishType,gray
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.214
Pond2Fish2_PondTime,11.139
Pond2Fish2_PondOutcome,2
Pond2Fish2_TotalOutcome,2
Pond2Fish2_TimeLeft,1188.859
Pond2_Type,RD
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.866
Pond2Fish3_PondTime,17.253
Pond2Fish3_PondOutcome,14
Pond2Fish3_TotalOutcome,14
Pond2Fish3_TimeLeft,1182.745
Pond2_Type,RD
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.411
Pond2Fish4_PondTime,23.617
Pond2Fish4_PondOutcome,16
Pond2Fish4_TotalOutcome,16
Pond2Fish4_TimeLeft,1176.381
Pond2_Type,RD
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.056
Pond2Fish5_PondTime,30.263
Pond2Fish5_PondOutcome,28
Pond2Fish5_TotalOutcome,28
Pond2Fish5_TimeLeft,1169.735
Pond2_Type,RD
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.077
Pond2Fish6_PondTime,37.247
Pond2Fish6_PondOutcome,40
Pond2Fish6_TotalOutcome,40
Pond2Fish6_TimeLeft,1162.751
Pond2_Type,RD
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.842
Pond2Fish7_PondTime,44.612
Pond2Fish7_PondOutcome,52
Pond2Fish7_TotalOutcome,52
Pond2Fish7_TimeLeft,1155.386
Pond2_Type,RD
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.341
Pond2Fish8_PondTime,52.437
Pond2Fish8_PondOutcome,64
Pond2Fish8_TotalOutcome,64
Pond2Fish8_TimeLeft,1147.561
Pond2_Type,RD
Pond2Fish9_FishType,gray
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.483
Pond2Fish9_PondTime,60.798
Pond2Fish9_PondOutcome,66
Pond2Fish9_TotalOutcome,66
Pond2Fish9_TimeLeft,1139.2
Pond2_Type,RD
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.173
Pond2Fish10_PondTime,69.832
Pond2Fish10_PondOutcome,78
Pond2Fish10_TotalOutcome,78
Pond2Fish10_TimeLeft,1130.166
Pond2_Type,RD
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.198
Pond2Fish11_PondTime,79.69
Pond2Fish11_PondOutcome,90
Pond2Fish11_TotalOutcome,90
Pond2Fish11_TimeLeft,1120.308
Pond2_Type,RD
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.173
Pond2Fish12_PondTime,90.63
Pond2Fish12_PondOutcome,102
Pond2Fish12_TotalOutcome,102
Pond2Fish12_TimeLeft,1109.368
Pond2_Type,RD
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.168
Pond2Fish13_PondTime,102.992
Pond2Fish13_PondOutcome,114
Pond2Fish13_TotalOutcome,114
