,5c54dee4703a5e00016b84ed
PlayerDetails,5c54dee4703a5e00016b84ed
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 15:41:58 GMT+0100 (czas środkowoeuropejski standardowy)
Pond6_Type,RD
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.434
Pond6Fish1_PondTime,5.217
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1194.779
Pond6_Type,RD
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.131
Pond6Fish2_PondTime,11.114
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,24
Pond6Fish2_TimeLeft,1188.882
Pond6_GiveUpTime,1.89
Pond6_PondTime,12.734
Pond6_PondOutcome,24
Pond6_TotalOutcome,24
Pond6_TimeLeft,1187.263
Pond5IntroTime,10.62332950765267
Pond5_Type,RD
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,0.831
Pond5Fish1_PondTime,19.297
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,36
Pond5Fish1_TimeLeft,1167.966
Pond5_Type,RD
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,0.95
Pond5Fish2_PondTime,25.658
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,48
Pond5Fish2_TimeLeft,1161.605
Pond5_Type,RD
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,32.366
Pond5Fish3_PondOutcome,24
Pond5Fish3_TotalOutcome,48
Pond5Fish3_TimeLeft,1154.897
Pond5_Type,RD
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,0.991
Pond5Fish4_PondTime,39.346
Pond5Fish4_PondOutcome,36
Pond5Fish4_TotalOutcome,60
Pond5Fish4_TimeLeft,1147.917
Pond5_Type,RD
Pond5Fish5_FishType,gray
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,0.989
Pond5Fish5_PondTime,46.706
Pond5Fish5_PondOutcome,38
Pond5Fish5_TotalOutcome,62
Pond5Fish5_TimeLeft,1140.557
Pond5_Type,RD
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.565
Pond5Fish6_PondTime,54.516
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,74
Pond5Fish6_TimeLeft,1132.746
Pond5_Type,RD
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,0.821
Pond5Fish7_PondTime,62.874
Pond5Fish7_PondOutcome,62
Pond5Fish7_TotalOutcome,86
Pond5Fish7_TimeLeft,1124.389
Pond5_Type,RD
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6
