,5c74f0d525c76b0010706736
PlayerDetails,5c74f0d525c76b0010706736
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 16:34:44 GMT+0200 (Eastern European Standard Time)
Pond3_Type,RD
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.791
Pond3Fish1_PondTime,6.492
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,12
Pond3Fish1_TimeLeft,1193.506
Pond3_Type,RD
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.662
Pond3Fish2_PondTime,13.891
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,24
Pond3Fish2_TimeLeft,1186.107
Pond3_Type,RD
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.826
Pond3Fish3_PondTime,21.756
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,36
Pond3Fish3_TimeLeft,1178.241
Pond3_Type,RD
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
