,5c8e8032b828c80018fde80c
PlayerDetails,5c8e8032b828c80018fde80c
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 15:36:45 GMT+0100 (Ora standard dell’Europa centrale)
Pond1_Type,RD
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.211
Pond1Fish1_PondTime,6.879
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,12
Pond1Fish1_TimeLeft,1193.118
Pond1_Type,RD
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.942
Pond1Fish2_PondTime,14.699
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,24
Pond1Fish2_TimeLeft,1185.299
Pond1_Type,RD
Pond1Fish3_FishType,gray
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.247
Pond1Fish3_PondTime,23.058
Pond1Fish3_PondOutcome,26
Pond1Fish3_TotalOutcome,26
Pond1Fish3_TimeLeft,1176.94
Pond1_Type,RD
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,-1
Pond1Fish4_PondTime,32.157
Pond1Fish4_PondOutcome,26
Pond1Fish4_TotalOutcome,26
Pond1Fish4_TimeLeft,1167.841
Pond1_Type,RD
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.029
Pond1Fish5_PondTime,42.025
Pond1Fish5_PondOutcome,38
Pond1Fish5_TotalOutcome,38
Pond1Fish5_TimeLeft,1157.973
Pond1_Type,RD
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.392
Pond1Fish6_PondTime,52.958
Pond1Fish6_PondOutcome,50
Pond1Fish6_TotalOutcome,50
Pond1Fish6_TimeLeft,1147.04
Pond1_Type,RD
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,0.985
Pond1Fish7_PondTime,65.324
Pond1Fish7_PondOutcome,62
Pond1Fish7_TotalOutcome,62
Pond1Fish7_TimeLeft,1134.674
Pond1_GiveUpTime,1.026
Pond1_PondTime,65.948
Pond1_PondOutcome,62
Pond1_TotalOutcome,62
Pond1_TimeLeft,1134.05
Pond10IntroTime,11.603195157367736
Pond10_Type,RD
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.13
Pond10Fish1_PondTime,21.144
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,74
Pond10Fish1_TimeLeft,1112.906
Pond10_Type,RD
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.226
Pond10Fish2_PondTime,28.51
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,86
Pond10Fish2_TimeLeft,1105.54
Pond10_Type,RD
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.073
Pond10Fish3_PondTime,36.341
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,98
Pond10Fish3_TimeLeft,1097.709
Pond10_Type,RD
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.24
Pond10Fish4_PondTime,44.718
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,110
Pond10Fish4_TimeLeft,1089.332
Pond10_Type,RD
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.126
Pond10Fish5_PondTime,53.747
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,122
Pond10Fish5_TimeLeft,1080.303
Pond10_Type,RD
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.482
Pond10Fish6_PondTime,63.609
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,134
Pond10Fish6_TimeLeft,1070.441
Pond10_Type,RD
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.131
Pond10Fish7_PondTime,74.545
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,146
Pond10Fish7_TimeLeft,1059.505
Pond10_GiveUpTime,1.067
Pond10_PondTime,75.342
