,5cfbcff4eac4de0001c610c2
PlayerDetails,5cfbcff4eac4de0001c610c2
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 15:04:11 GMT+0100 (Ora standard dell’Europa centrale)
Pond5_Type,RD
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.188
Pond5Fish1_PondTime,5.613
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,12
Pond5Fish1_TimeLeft,1194.383
Pond5_Type,RD
Pond5Fish2_FishType,gray
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,0.941
Pond5Fish2_PondTime,11.979
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,14
Pond5Fish2_TimeLeft,1188.017
Pond5_Type,RD
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,1.109
Pond5Fish3_PondTime,18.641
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,26
Pond5Fish3_TimeLeft,1181.355
Pond5_Type,RD
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,0.835
Pond5Fish4_PondTime,25.625
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,38
Pond5Fish4_TimeLeft,1174.371
Pond5_Type,RD
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,0.923
Pond5Fish5_PondTime,32.994
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,50
Pond5Fish5_TimeLeft,1167.002
Pond5_Type,RD
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.02
Pond5Fish6_PondTime,40.81
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,62
Pond5Fish6_TimeLeft,1159.186
Pond5_Type,RD
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,0.898
Pond5Fish7_PondTime,49.176
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,74
Pond5Fish7_TimeLeft,1150.82
Pond5_Type,RD
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.171
Pond5Fish8_PondTime,58.209
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,86
Pond5Fish8_TimeLeft,1141.787
Pond5_Type,RD
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,1.119
Pond5Fish9_PondTime,68.076
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,98
Pond5Fish9_TimeLeft,1131.92
Pond5_Type,RD
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,0.946
Pond5Fish10_PondTime,79.008
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,110
Pond5Fish10_TimeLeft,1120.988
Pond5_Type,RD
Pond5Fish11_FishType,gray
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,1.555
Pond5Fish11_PondTime,91.377
Pond5Fish11_PondOutcome,112
Pond5Fish11_TotalOutcome,112
Pond5Fish11_TimeLeft,1108.619
Pond5_Type,RD
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,10
Pond5Fish12_CatchTime,1.16
Pond5Fish12_PondTime,105.744
Pond5Fish12_PondOutcome,124
Pond5Fish12_TotalOutcome,124
Pond5Fish12_TimeLeft,1094.252
Pond5_Type,RD
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,12
Pond5Fish13_CatchTime,0.849
Pond5Fish13_PondTime,123.111
Pond5Fish13_PondOutcome,136
Pond5Fish13_TotalOutcome,136
Pond5Fish13_TimeLeft,1076.885
Pond5_Type,RD
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,15
Pond5Fish14_CatchTime,1.792
Pond5Fish14_PondTime,145.579
Pond5Fish14_PondOutcome,148
Pond5Fish14_TotalOutcome,148
Pond5Fish14_TimeLeft,1054.417
Pond5_GiveUpTime,29.777
Pond5_PondTime,175.653
Pond5_PondOutcome,148
Pond5_TotalOutcome,148
Pond5_TimeLeft,1024.343
Pond10IntroTime,17.955125514417887
Pond10_Type,RD
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.015
Pond10Fish1_PondTime,27.459
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,160
Pond10Fish1_TimeLeft,996.884
Pond10_Type,RD
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.769
Pond10Fish2_PondTime,34.826
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,172
Pond10Fish2_TimeLeft,989.517
Pond10_Type,RD
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.791
Pond10Fish3_PondTime,42.643
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,184
Pond10Fish3_TimeLeft,981.7
Pond10_Type,RD
Pond10Fish4_FishType,gray
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,0.917
Pond10Fish4_PondTime,51.01
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,186
Pond10Fish4_TimeLeft,973.333
Pond10_Type,RD
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.02
Pond10Fish5_PondTime,60.046
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,198
Pond10Fish5_TimeLeft,964.297
Pond10_Type,RD
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,0.9
Pond10Fish6_PondTime,69.912
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,210
Pond10Fish6_TimeLeft,954.431
Pond10_Type,RD
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.015
Pond10Fish7_PondTime,80.845
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,222
Pond10Fish7_TimeLeft,943.498
Pond10_Type,RD
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,0.898
Pond10Fish8_PondTime,93.212
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,234
Pond10Fish8_TimeLeft,931.131
Pond10_Type,RD
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,1.073
Pond10Fish9_PondTime,107.579
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,246
Pond10Fish9_TimeLeft,916.764
Pond10_Type,RD
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,12
Pond10Fish10_CatchTime,1.087
Pond10Fish10_PondTime,124.947
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,258
Pond10Fish10_TimeLeft,899.396
Pond10_Type,RD
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,15
Pond10Fish11_CatchTime,-1
Pond10Fish11_PondTime,147.379
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,258
Pond10Fish11_TimeLeft,876.964
Pond10_Type,RD
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,20
Pond10Fish12_CatchTime,1.461
Pond10Fish12_PondTime,179.745
Pond10Fish12_PondOutcome,122
Pond10Fish12_TotalOutcome,270
Pond10Fish12_TimeLeft,844.598
Pond10_GiveUpTime,26.592
Pond10_PondTime,206.403
Pond10_PondOutcome,122
Pond10_TotalOutcome,270
Pond10_TimeLeft,817.94
Pond3IntroTime,12.234597003553063
Pond3_Type,RD
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.821
Pond3Fish1_PondTime,21.745
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,282
Pond3Fish1_TimeLeft,796.195
Pond3_Type,RD
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.957
Pond3Fish2_PondTime,29.111
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,294
Pond3Fish2_TimeLeft,788.829
Pond3_Type,RD
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.84
Pond3Fish3_PondTime,36.928
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,306
Pond3Fish3_TimeLeft,781.012
Pond3_Type,RD
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.904
Pond3Fish4_PondTime,45.296
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,318
Pond3Fish4_TimeLeft,772.644
Pond3_Type,RD
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.084
Pond3Fish5_PondTime,54.331
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,330
Pond3Fish5_TimeLeft,763.609
Pond3_Type,RD
Pond3Fish6_FishType,gray
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.844
Pond3Fish6_PondTime,64.197
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,332
Pond3Fish6_TimeLeft,753.743
Pond3_Type,RD
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.835
Pond3Fish7_PondTime,75.131
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,344
Pond3Fish7_TimeLeft,742.809
Pond3_Type,RD
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.267
Pond3Fish8_PondTime,87.498
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,356
Pond3Fish8_TimeLeft,730.442
Pond3_Type,RD
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,0.842
Pond3Fish9_PondTime,101.866
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,368
Pond3Fish9_TimeLeft,716.074
Pond3_Type,RD
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,0.804
Pond3Fish10_PondTime,119.232
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,380
Pond3Fish10_TimeLeft,698.708
Pond3_Type,RD
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,15
Pond3Fish11_CatchTime,0.703
Pond3Fish11_PondTime,141.599
Pond3Fish11_PondOutcome,122
Pond3Fish11_TotalOutcome,392
Pond3Fish11_TimeLeft,676.341
Pond3_Type,RD
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,20
Pond3Fish12_CatchTime,0.964
Pond3Fish12_PondTime,173.968
Pond3Fish12_PondOutcome,134
Pond3Fish12_TotalOutcome,404
Pond3Fish12_TimeLeft,643.972
Pond3_GiveUpTime,28.865
Pond3_PondTime,202.397
Pond3_PondOutcome,134
Pond3_TotalOutcome,404
Pond3_TimeLeft,615.543
Pond1IntroTime,18.276472254656255
Pond1_Type,RD
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.307
Pond1Fish1_PondTime,28.153
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,416
Pond1Fish1_TimeLeft,587.39
Pond1_Type,RD
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.995
Pond1Fish2_PondTime,35.974
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,428
Pond1Fish2_TimeLeft,579.569
Pond1_Type,RD
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.933
Pond1Fish3_PondTime,44.337
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,440
Pond1Fish3_TimeLeft,571.206
Pond1_Type,RD
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.629
Pond1Fish4_PondTime,53.372
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,452
Pond1Fish4_TimeLeft,562.171
Pond1_Type,RD
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.994
Pond1Fish5_PondTime,63.239
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,464
Pond1Fish5_TimeLeft,552.304
Pond1_Type,RD
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.783
Pond1Fish6_PondTime,74.173
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,476
Pond1Fish6_TimeLeft,541.37
Pond1_Type,RD
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.135
Pond1Fish7_PondTime,86.538
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,488
Pond1Fish7_TimeLeft,529.005
Pond1_Type,RD
Pond1Fish8_FishType,gray
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,-1
Pond1Fish8_PondTime,100.956
Pond1Fish8_PondOutcome,84
Pond1Fish8_TotalOutcome,488
Pond1Fish8_TimeLeft,514.587
Pond1_Type,RD
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,0.785
Pond1Fish9_PondTime,118.325
Pond1Fish9_PondOutcome,96
Pond1Fish9_TotalOutcome,500
Pond1Fish9_TimeLeft,497.218
Pond1_Type,RD
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,15
Pond1Fish10_CatchTime,0.749
Pond1Fish10_PondTime,140.69
Pond1Fish10_PondOutcome,108
Pond1Fish10_TotalOutcome,512
