,5d1c6892ab2b52001830e8b1
PlayerDetails,5d1c6892ab2b52001830e8b1
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 14:05:58 GMT+0000 (Hora padrão da Europa Ocidental)
Pond7_Type,RD
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.554
Pond7Fish1_PondTime,5.227
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,12
Pond7Fish1_TimeLeft,1194.769
Pond7_Type,RD
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,0.89
Pond7Fish2_PondTime,11.124
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,24
Pond7Fish2_TimeLeft,1188.873
Pond7_Type,RD
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.1
Pond7Fish3_PondTime,17.25
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,36
Pond7Fish3_TimeLeft,1182.746
Pond7_Type,RD
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.077
Pond7Fish4_PondTime,23.624
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,48
Pond7Fish4_TimeLeft,1176.373
Pond7_Type,RD
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,0.694
Pond7Fish5_PondTime,30.3
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,60
Pond7Fish5_TimeLeft,1169.697
Pond7_Type,RD
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,0.897
Pond7Fish6_PondTime,37.288
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,72
Pond7Fish6_TimeLeft,1162.709
Pond7_Type,RD
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,-1
Pond7Fish7_PondTime,45.868
Pond7Fish7_PondOutcome,72
Pond7Fish7_TotalOutcome,72
Pond7Fish7_TimeLeft,1154.129
Pond7_Type,RD
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,1.512
Pond7Fish8_PondTime,53.715
Pond7Fish8_PondOutcome,84
Pond7Fish8_TotalOutcome,84
Pond7Fish8_TimeLeft,1146.282
Pond7_Type,RD
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,0.792
Pond7Fish9_PondTime,62.089
Pond7Fish9_PondOutcome,96
Pond7Fish9_TotalOutcome,96
Pond7Fish9_TimeLeft,1137.908
Pond7_Type,RD
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,0.743
Pond7Fish10_PondTime,71.133
Pond7Fish10_PondOutcome,108
Pond7Fish10_TotalOutcome,108
