,5d6e3802ec4df400153b7ed4
PlayerDetails,5d6e3802ec4df400153b7ed4
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 16:00:38 GMT+0000 (Greenwich Mean Time)
Pond4_Type,RD
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.463
Pond4Fish1_PondTime,5.222
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,12
Pond4Fish1_TimeLeft,1194.771
Pond4_Type,RD
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.982
Pond4Fish2_PondTime,11.398
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,24
Pond4Fish2_TimeLeft,1188.595
Pond4_Type,RD
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.069
Pond4Fish3_PondTime,17.52
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,36
Pond4Fish3_TimeLeft,1182.473
Pond4_Type,RD
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.924
Pond4Fish4_PondTime,23.904
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,48
Pond4Fish4_TimeLeft,1176.089
Pond4_Type,RD
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.08
Pond4Fish5_PondTime,30.574
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,60
Pond4Fish5_TimeLeft,1169.419
Pond4_Type,RD
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.373
Pond4Fish6_PondTime,37.573
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,72
