,5dc3ebd9d0b86f2c8dc18c30
PlayerDetails,5dc3ebd9d0b86f2c8dc18c30
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 15:06:45 GMT+0100 (centraleuropeisk normaltid)
Pond9_Type,RD
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.178
Pond9Fish1_PondTime,5.193
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1194.803
Pond9_Type,RD
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.888
Pond9Fish2_PondTime,11.091
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,24
Pond9Fish2_TimeLeft,1188.906
Pond9_Type,RD
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.045
Pond9Fish3_PondTime,17.207
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,36
Pond9Fish3_TimeLeft,1182.79
Pond9_Type,RD
Pond9Fish4_FishType,gray
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,-1
Pond9Fish4_PondTime,23.64
Pond9Fish4_PondOutcome,36
Pond9Fish4_TotalOutcome,36
Pond9Fish4_TimeLeft,1176.357
Pond9_Type,RD
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.352
Pond9Fish5_PondTime,30.291
Pond9Fish5_PondOutcome,48
Pond9Fish5_TotalOutcome,48
Pond9Fish5_TimeLeft,1169.706
Pond9_Type,RD
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.046
Pond9Fish6_PondTime,37.275
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,60
Pond9Fish6_TimeLeft,1162.722
Pond9_Type,RD
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.151
Pond9Fish7_PondTime,44.64
Pond9Fish7_PondOutcome,72
Pond9Fish7_TotalOutcome,72
Pond9Fish7_TimeLeft,1155.357
Pond9_GiveUpTime,1.154
Pond9_PondTime,45.547
Pond9_PondOutcome,72
Pond9_TotalOutcome,72
Pond9_TimeLeft,1154.45
Pond10IntroTime,14.46612668223679
Pond10_Type,RD
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.015
Pond10Fish1_PondTime,23.976
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,84
Pond10Fish1_TimeLeft,1130.474
Pond10_Type,RD
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.952
Pond10Fish2_PondTime,31.343
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,96
Pond10Fish2_TimeLeft,1123.107
Pond10_Type,RD
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.968
