,Angie 
PlayerDetails,Angie 
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0.9
RD_PurpleFishOutcome,12
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RD
Pond1FishN,13
Pond2Type,RD
Pond2FishN,19
Pond3Type,RD
Pond3FishN,14
Pond4Type,RD
Pond4FishN,19
Pond5Type,RD
Pond5FishN,17
Pond6Type,RD
Pond6FishN,19
Pond7Type,RD
Pond7FishN,19
Pond8Type,RD
Pond8FishN,17
Pond9Type,RD
Pond9FishN,19
Pond10Type,RD
Pond10FishN,14
Pond11Type,RD
Pond11FishN,13
Pond12Type,RD
Pond12FishN,16
Date:,Thu Nov 07 2019 14:05:47 GMT+0000 (Greenwich Mean Time)
Pond11_Type,RD
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,-1
Pond11Fish1_PondTime,6.927
Pond11Fish1_PondOutcome,0
Pond11Fish1_TotalOutcome,0
Pond11Fish1_TimeLeft,1193.067
Pond11_Type,RD
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.398
Pond11Fish2_PondTime,14.747
Pond11Fish2_PondOutcome,12
Pond11Fish2_TotalOutcome,12
Pond11Fish2_TimeLeft,1185.248
Pond11_Type,RD
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.366
