,5932c41688f9010001673240
PlayerDetails,5932c41688f9010001673240
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,14
Pond3Type,RT
Pond3FishN,19
Pond4Type,RT
Pond4FishN,17
Pond5Type,RT
Pond5FishN,19
Pond6Type,RT
Pond6FishN,14
Pond7Type,RT
Pond7FishN,12
Pond8Type,RT
Pond8FishN,12
Pond9Type,RT
Pond9FishN,17
Pond10Type,RT
Pond10FishN,16
Pond11Type,RT
Pond11FishN,14
Pond12Type,RT
Pond12FishN,15
Date:,Fri Nov 08 2019 10:14:20 GMT+0000 (Hora padrão da Europa Ocidental)
Pond6_Type,RT
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.623
Pond6Fish1_PondTime,6.634
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1193.353
Pond6_Type,RT
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.235
Pond6Fish2_PondTime,14.065
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,20
Pond6Fish2_TimeLeft,1185.921
Pond6_Type,RT
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.977
Pond6Fish3_PondTime,21.992
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,30
Pond6Fish3_TimeLeft,1177.994
Pond6_Type,RT
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.867
Pond6Fish4_PondTime,30.452
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,40
Pond6Fish4_TimeLeft,1169.535
Pond6_Type,RT
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.149
Pond6Fish5_PondTime,39.528
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,50
Pond6Fish5_TimeLeft,1160.458
Pond6_Type,RT
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.912
Pond6Fish6_PondTime,49.69
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,60
Pond6Fish6_TimeLeft,1150.297
Pond6_Type,RT
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.444
Pond6Fish7_PondTime,60.66
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,70
Pond6Fish7_TimeLeft,1139.327
Pond6_GiveUpTime,8.914
Pond6_PondTime,69.624
Pond6_PondOutcome,70
Pond6_TotalOutcome,70
Pond6_TimeLeft,1130.362
Pond7IntroTime,19.126132533419877
Pond7_Type,RT
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.189
Pond7Fish1_PondTime,29.595
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,80
Pond7Fish1_TimeLeft,1100.767
Pond7_Type,RT
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.884
Pond7Fish2_PondTime,37.989
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,90
Pond7Fish2_TimeLeft,1092.372
Pond7_Type,RT
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.085
Pond7Fish3_PondTime,47.113
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,100
Pond7Fish3_TimeLeft,1083.249
Pond7_Type,RT
Pond7Fish4_FishType,golden
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.952
Pond7Fish4_PondTime,57.007
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,120
Pond7Fish4_TimeLeft,1073.354
Pond7_Type,RT
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.92
Pond7Fish5_PondTime,68.03
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,130
Pond7Fish5_TimeLeft,1062.331
Pond7_Type,RT
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,1.743
Pond7Fish6_PondTime,80.479
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,140
Pond7Fish6_TimeLeft,1049.883
Pond7_Type,RT
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,0.871
Pond7Fish7_PondTime,94.875
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,150
Pond7Fish7_TimeLeft,1035.487
Pond7_Type,RT
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,12
Pond7Fish8_CatchTime,1.145
Pond7Fish8_PondTime,112.334
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,160
Pond7Fish8_TimeLeft,1018.028
Pond7_Type,RT
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,15
Pond7Fish9_CatchTime,1.294
Pond7Fish9_PondTime,134.725
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,170
Pond7Fish9_TimeLeft,995.636
Pond7_GiveUpTime,2.779
Pond7_PondTime,137.397
Pond7_PondOutcome,100
Pond7_TotalOutcome,170
Pond7_TimeLeft,992.965
Pond2IntroTime,13.214392794761807
Pond2_Type,RT
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,0.857
Pond2Fish1_PondTime,22.861
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,180
Pond2Fish1_TimeLeft,970.104
Pond2_Type,RT
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.127
Pond2Fish2_PondTime,30.268
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,190
Pond2Fish2_TimeLeft,962.696
Pond2_Type,RT
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.043
Pond2Fish3_PondTime,38.154
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,200
Pond2Fish3_TimeLeft,954.81
Pond2_Type,RT
Pond2Fish4_FishType,blue
