,5b130d21444cef0001cadec7
PlayerDetails,5b130d21444cef0001cadec7
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,14
Pond3Type,RT
Pond3FishN,19
Pond4Type,RT
Pond4FishN,17
Pond5Type,RT
Pond5FishN,19
Pond6Type,RT
Pond6FishN,14
Pond7Type,RT
Pond7FishN,12
Pond8Type,RT
Pond8FishN,12
Pond9Type,RT
Pond9FishN,17
Pond10Type,RT
Pond10FishN,16
Pond11Type,RT
Pond11FishN,14
Pond12Type,RT
Pond12FishN,15
Date:,Fri Nov 08 2019 11:41:16 GMT+0100 (Central European Standard Time)
Pond10_Type,RT
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.954
Pond10Fish1_PondTime,5.866
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1194.133
Pond10_Type,RT
Pond10Fish2_FishType,golden
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,0.515
Pond10Fish2_PondTime,12.51
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,30
Pond10Fish2_TimeLeft,1187.489
Pond10_Type,RT
Pond10Fish3_FishType,golden
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,0.738
Pond10Fish3_PondTime,19.489
Pond10Fish3_PondOutcome,50
Pond10Fish3_TotalOutcome,50
Pond10Fish3_TimeLeft,1180.51
Pond10_Type,RT
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,0.709
Pond10Fish4_PondTime,26.849
Pond10Fish4_PondOutcome,60
Pond10Fish4_TotalOutcome,60
Pond10Fish4_TimeLeft,1173.15
Pond10_Type,RT
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,0.76
Pond10Fish5_PondTime,34.676
Pond10Fish5_PondOutcome,70
Pond10Fish5_TotalOutcome,70
Pond10Fish5_TimeLeft,1165.323
Pond10_Type,RT
Pond10Fish6_FishType,golden
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,0.787
Pond10Fish6_PondTime,43.034
Pond10Fish6_PondOutcome,90
Pond10Fish6_TotalOutcome,90
Pond10Fish6_TimeLeft,1156.965
Pond10_Type,RT
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,1.067
Pond10Fish7_PondTime,52.06
Pond10Fish7_PondOutcome,100
Pond10Fish7_TotalOutcome,100
Pond10Fish7_TimeLeft,1147.939
Pond10_Type,RT
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,0.866
Pond10Fish8_PondTime,61.921
Pond10Fish8_PondOutcome,110
Pond10Fish8_TotalOutcome,110
Pond10Fish8_TimeLeft,1138.078
Pond10_Type,RT
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.134
Pond10Fish9_PondTime,72.86
Pond10Fish9_PondOutcome,120
Pond10Fish9_TotalOutcome,120
Pond10Fish9_TimeLeft,1127.139
Pond10_Type,RT
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,0.943
Pond10Fish10_PondTime,85.233
Pond10Fish10_PondOutcome,130
Pond10Fish10_TotalOutcome,130
Pond10Fish10_TimeLeft,1114.766
Pond10_GiveUpTime,0.541
Pond10_PondTime,99.809
Pond10_PondOutcome,130
Pond10_TotalOutcome,130
Pond10_TimeLeft,1100.19
Pond8IntroTime,12.178944600746036
Pond8_Type,RT
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.011
Pond8Fish1_PondTime,22.593
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,140
Pond8Fish1_TimeLeft,1077.597
Pond8_Type,RT
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.455
Pond8Fish2_PondTime,30.955
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,150
Pond8Fish2_TimeLeft,1069.235
Pond8_Type,RT
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.984
Pond8Fish3_PondTime,39.998
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,160
Pond8Fish3_TimeLeft,1060.192
Pond8_Type,RT
Pond8Fish4_FishType,golden
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.684
Pond8Fish4_PondTime,49.854
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,180
Pond8Fish4_TimeLeft,1050.336
Pond8_Type,RT
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.035
Pond8Fish5_PondTime,60.797
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,190
Pond8Fish5_TimeLeft,1039.393
Pond8_Type,RT
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.801
Pond8Fish6_PondTime,73.17
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,200
Pond8Fish6_TimeLeft,1027.02
Pond8_Type,RT
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,0.888
Pond8Fish7_PondTime,87.542
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,210
Pond8Fish7_TimeLeft,1012.648
Pond8_GiveUpTime,0.452
Pond8_PondTime,104.86
Pond8_PondOutcome,80
Pond8_TotalOutcome,210
Pond8_TimeLeft,995.33
Pond9IntroTime,19.529983571264893
Pond9_Type,RT
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
