,5c3246aa23f1c60001a6b6df
PlayerDetails,5c3246aa23f1c60001a6b6df
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,14
Pond3Type,RT
Pond3FishN,19
Pond4Type,RT
Pond4FishN,17
Pond5Type,RT
Pond5FishN,19
Pond6Type,RT
Pond6FishN,14
Pond7Type,RT
Pond7FishN,12
Pond8Type,RT
Pond8FishN,12
Pond9Type,RT
Pond9FishN,17
Pond10Type,RT
Pond10FishN,16
Pond11Type,RT
Pond11FishN,14
Pond12Type,RT
Pond12FishN,15
Date:,Fri Nov 08 2019 11:19:18 GMT+0100 (hora estándar de Europa central)
Pond4_Type,RT
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.06
Pond4Fish1_PondTime,5.648
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,10
Pond4Fish1_TimeLeft,1194.35
Pond4_Type,RT
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.957
Pond4Fish2_PondTime,12.068
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,20
Pond4Fish2_TimeLeft,1187.93
Pond4_Type,RT
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,1.011
Pond4Fish3_PondTime,18.778
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,30
Pond4Fish3_TimeLeft,1181.22
Pond4_Type,RT
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,1.076
Pond4Fish4_PondTime,25.807
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,40
Pond4Fish4_TimeLeft,1174.19
Pond4_Type,RT
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,1.048
Pond4Fish5_PondTime,33.208
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,50
Pond4Fish5_TimeLeft,1166.79
Pond4_Type,RT
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.992
Pond4Fish6_PondTime,41.058
