,5d5fac22e32d920001c82b53
PlayerDetails,5d5fac22e32d920001c82b53
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,14
Pond3Type,RT
Pond3FishN,19
Pond4Type,RT
Pond4FishN,17
Pond5Type,RT
Pond5FishN,19
Pond6Type,RT
Pond6FishN,14
Pond7Type,RT
Pond7FishN,12
Pond8Type,RT
Pond8FishN,12
Pond9Type,RT
Pond9FishN,17
Pond10Type,RT
Pond10FishN,16
Pond11Type,RT
Pond11FishN,14
Pond12Type,RT
Pond12FishN,15
Date:,Fri Nov 08 2019 11:15:59 GMT+0100 (közép-európai téli idő)
Pond10_Type,RT
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.815
Pond10Fish1_PondTime,5.865
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1194.134
Pond10_Type,RT
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,0.81
Pond10Fish2_PondTime,12.515
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1187.484
Pond10_Type,RT
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,0.855
Pond10Fish3_PondTime,19.497
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1180.502
Pond10_Type,RT
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,0.958
Pond10Fish4_PondTime,26.865
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,40
Pond10Fish4_TimeLeft,1173.134
Pond10_GiveUpTime,0.827
Pond10_PondTime,34.823
Pond10_PondOutcome,40
Pond10_TotalOutcome,40
Pond10_TimeLeft,1165.176
Pond1IntroTime,16.419833686668426
Pond1_Type,RT
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,0.706
Pond1Fish1_PondTime,26.776
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,50
Pond1Fish1_TimeLeft,1138.4
Pond1_Type,RT
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.783
Pond1Fish2_PondTime,35.143
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,60
Pond1Fish2_TimeLeft,1130.033
Pond1_Type,RT
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,0.67
Pond1Fish3_PondTime,44.178
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,70
Pond1Fish3_TimeLeft,1120.998
Pond1_Type,RT
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,0.809
Pond1Fish4_PondTime,54.044
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,80
Pond1Fish4_TimeLeft,1111.132
Pond1_Type,RT
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,0.835
Pond1Fish5_PondTime,64.978
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,90
Pond1Fish5_TimeLeft,1100.198
Pond1_Type,RT
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,0.808
Pond1Fish6_PondTime,77.346
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,110
Pond1Fish6_TimeLeft,1087.83
Pond1_Type,RT
Pond1Fish7_FishType,golden
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.683
Pond1Fish7_PondTime,91.713
Pond1Fish7_PondOutcome,90
Pond1Fish7_TotalOutcome,130
Pond1Fish7_TimeLeft,1073.463
Pond1_Type,RT
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,0.829
Pond1Fish8_PondTime,109.082
Pond1Fish8_PondOutcome,100
Pond1Fish8_TotalOutcome,140
Pond1Fish8_TimeLeft,1056.094
Pond1_Type,RT
Pond1Fish9_FishType,golden
Pond1Fish9_FishLatency,15
Pond1Fish9_CatchTime,0.801
Pond1Fish9_PondTime,131.467
Pond1Fish9_PondOutcome,120
Pond1Fish9_TotalOutcome,160
Pond1Fish9_TimeLeft,1033.709
Pond1_GiveUpTime,0.808
Pond1_PondTime,164.241
Pond1_PondOutcome,120
Pond1_TotalOutcome,160
Pond1_TimeLeft,1000.935
Pond5IntroTime,15.525524890981615
Pond5_Type,RT
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.759
Pond5Fish1_PondTime,23.778
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,170
Pond5Fish1_TimeLeft,977.157
Pond5_Type,RT
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,29.727
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,170
Pond5Fish2_TimeLeft,971.208
Pond5_Type,RT
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.835
Pond5Fish3_PondTime,35.844
Pond5Fish3_PondOutcome,20
Pond5Fish3_TotalOutcome,180
Pond5Fish3_TimeLeft,965.091
Pond5_Type,RT
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.938
Pond5Fish4_PondTime,42.224
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,190
Pond5Fish4_TimeLeft,958.711
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.901
Pond5Fish5_PondTime,48.896
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,200
Pond5Fish5_TimeLeft,952.039
Pond5_Type,RT
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.92
Pond5Fish6_PondTime,55.879
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,210
Pond5Fish6_TimeLeft,945.056
Pond5_Type,RT
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.843
Pond5Fish7_PondTime,63.24
Pond5Fish7_PondOutcome,60
Pond5Fish7_TotalOutcome,220
Pond5Fish7_TimeLeft,937.695
Pond5_Type,RT
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.642
Pond5Fish8_PondTime,71.08
Pond5Fish8_PondOutcome,70
