,5d88ceb2dec2a500155d5ce1
PlayerDetails,5d88ceb2dec2a500155d5ce1
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,14
Pond3Type,RT
Pond3FishN,19
Pond4Type,RT
Pond4FishN,17
Pond5Type,RT
Pond5FishN,19
Pond6Type,RT
Pond6FishN,14
Pond7Type,RT
Pond7FishN,12
Pond8Type,RT
Pond8FishN,12
Pond9Type,RT
Pond9FishN,17
Pond10Type,RT
Pond10FishN,16
Pond11Type,RT
Pond11FishN,14
Pond12Type,RT
Pond12FishN,15
Date:,Fri Nov 08 2019 09:16:34 GMT+0100 (Ora standard dell’Europa centrale)
Pond9_Type,RT
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.844
Pond9Fish1_PondTime,5.641
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,10
Pond9Fish1_TimeLeft,1194.354
Pond9_Type,RT
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.758
Pond9Fish2_PondTime,12.021
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,20
Pond9Fish2_TimeLeft,1187.974
Pond9_Type,RT
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.732
Pond9Fish3_PondTime,18.702
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,30
Pond9Fish3_TimeLeft,1181.293
Pond9_Type,RT
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.786
Pond9Fish4_PondTime,25.713
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,40
Pond9Fish4_TimeLeft,1174.282
Pond9_Type,RT
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.774
Pond9Fish5_PondTime,33.097
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,50
Pond9Fish5_TimeLeft,1166.898
Pond9_Type,RT
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.781
Pond9Fish6_PondTime,40.941
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,60
Pond9Fish6_TimeLeft,1159.054
Pond9_Type,RT
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.648
Pond9Fish7_PondTime,49.336
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,70
Pond9Fish7_TimeLeft,1150.659
Pond9_Type,RT
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,0.862
Pond9Fish8_PondTime,58.384
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,80
Pond9Fish8_TimeLeft,1141.611
Pond9_Type,RT
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,0.957
Pond9Fish9_PondTime,68.266
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,90
Pond9Fish9_TimeLeft,1131.729
Pond9_Type,RT
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,0.731
Pond9Fish10_PondTime,79.211
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,100
Pond9Fish10_TimeLeft,1120.784
Pond9_Type,RT
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,0.669
Pond9Fish11_PondTime,91.591
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,110
Pond9Fish11_TimeLeft,1108.404
Pond9_Type,RT
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,0.814
Pond9Fish12_PondTime,105.984
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,120
Pond9Fish12_TimeLeft,1094.011
Pond9_GiveUpTime,1.749
Pond9_PondTime,107.151
Pond9_PondOutcome,120
Pond9_TotalOutcome,120
Pond9_TimeLeft,1092.844
Pond4IntroTime,10.502382065169513
Pond4_Type,RT
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.881
Pond4Fish1_PondTime,19.2
