,5d9674841b7e120018c4cb5d
PlayerDetails,5d9674841b7e120018c4cb5d
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,14
Pond3Type,RT
Pond3FishN,19
Pond4Type,RT
Pond4FishN,17
Pond5Type,RT
Pond5FishN,19
Pond6Type,RT
Pond6FishN,14
Pond7Type,RT
Pond7FishN,12
Pond8Type,RT
Pond8FishN,12
Pond9Type,RT
Pond9FishN,17
Pond10Type,RT
Pond10FishN,16
Pond11Type,RT
Pond11FishN,14
Pond12Type,RT
Pond12FishN,15
Date:,Fri Nov 08 2019 11:36:30 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης)
Pond10_Type,RT
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.405
Pond10Fish1_PondTime,5.879
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1194.115
Pond10_Type,RT
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,2.037
Pond10Fish2_PondTime,12.608
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1187.386
Pond10_Type,RT
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,1.053
Pond10Fish3_PondTime,19.617
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1180.376
Pond10_Type,RT
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,1.17
Pond10Fish4_PondTime,27.008
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,40
Pond10Fish4_TimeLeft,1172.986
Pond10_Type,RT
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,1.068
Pond10Fish5_PondTime,34.859
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,50
Pond10Fish5_TimeLeft,1165.135
Pond10_Type,RT
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.147
Pond10Fish6_PondTime,43.251
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,60
Pond10Fish6_TimeLeft,1156.743
Pond10_Type,RT
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,1.328
Pond10Fish7_PondTime,52.306
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,70
Pond10Fish7_TimeLeft,1147.687
Pond10_Type,RT
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.628
Pond10Fish8_PondTime,62.197
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,80
Pond10Fish8_TimeLeft,1137.796
Pond10_Type,RT
Pond10Fish9_FishType,golden
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.308
Pond10Fish9_PondTime,73.153
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,100
Pond10Fish9_TimeLeft,1126.84
Pond10_Type,RT
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,1.272
Pond10Fish10_PondTime,85.541
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,110
Pond10Fish10_TimeLeft,1114.453
Pond10_Type,RT
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,10
Pond10Fish11_CatchTime,1.544
Pond10Fish11_PondTime,99.936
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,120
Pond10Fish11_TimeLeft,1100.058
Pond10_Type,RT
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,12
Pond10Fish12_CatchTime,1.219
Pond10Fish12_PondTime,117.33
Pond10Fish12_PondOutcome,130
Pond10Fish12_TotalOutcome,130
Pond10Fish12_TimeLeft,1082.664
Pond10_Type,RT
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,15
Pond10Fish13_CatchTime,1.226
Pond10Fish13_PondTime,139.71
Pond10Fish13_PondOutcome,140
Pond10Fish13_TotalOutcome,140
Pond10Fish13_TimeLeft,1060.284
Pond10_Type,RT
Pond10Fish14_FishType,blue
Pond10Fish14_FishLatency,20
Pond10Fish14_CatchTime,1.697
Pond10Fish14_PondTime,172.094
Pond10Fish14_PondOutcome,150
Pond10Fish14_TotalOutcome,150
Pond10Fish14_TimeLeft,1027.9
Pond10_GiveUpTime,6.58
Pond10_PondTime,178.961
Pond10_PondOutcome,150
Pond10_TotalOutcome,150
Pond10_TimeLeft,1021.033
Pond3IntroTime,17.651009517721832
Pond3_Type,RT
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.22
Pond3Fish1_PondTime,26.45
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,160
Pond3Fish1_TimeLeft,994.583
Pond3_Type,RT
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.952
Pond3Fish2_PondTime,32.624
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,170
Pond3Fish2_TimeLeft,988.409
Pond3_Type,RT
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.135
Pond3Fish3_PondTime,38.765
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,180
Pond3Fish3_TimeLeft,982.267
Pond3_Type,RT
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.22
Pond3Fish4_PondTime,45.161
