,5dc533aa02e9a93c00d9e3ff
PlayerDetails,5dc533aa02e9a93c00d9e3ff
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,14
Pond3Type,RT
Pond3FishN,19
Pond4Type,RT
Pond4FishN,17
Pond5Type,RT
Pond5FishN,19
Pond6Type,RT
Pond6FishN,14
Pond7Type,RT
Pond7FishN,12
Pond8Type,RT
Pond8FishN,12
Pond9Type,RT
Pond9FishN,17
Pond10Type,RT
Pond10FishN,16
Pond11Type,RT
Pond11FishN,14
Pond12Type,RT
Pond12FishN,15
Date:,Fri Nov 08 2019 10:12:00 GMT+0000 (Greenwich Mean Time)
Pond8_Type,RT
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.439
Pond8Fish1_PondTime,7.355
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,10
Pond8Fish1_TimeLeft,1192.642
Pond8_Type,RT
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.772
Pond8Fish2_PondTime,15.739
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,20
Pond8Fish2_TimeLeft,1184.258
Pond8_Type,RT
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.482
Pond8Fish3_PondTime,24.763
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,30
Pond8Fish3_TimeLeft,1175.234
Pond8_Type,RT
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.692
Pond8Fish4_PondTime,34.652
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,40
Pond8Fish4_TimeLeft,1165.345
Pond8_Type,RT
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,0.733
Pond8Fish5_PondTime,45.582
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,50
Pond8Fish5_TimeLeft,1154.415
Pond8_Type,RT
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.715
Pond8Fish6_PondTime,57.945
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,60
Pond8Fish6_TimeLeft,1142.051
Pond8_GiveUpTime,12.535
Pond8_PondTime,69.808
Pond8_PondOutcome,60
Pond8_TotalOutcome,60
Pond8_TimeLeft,1130.189
Pond9IntroTime,18.995275360066444
Pond9_Type,RT
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.05
Pond9Fish1_PondTime,27.661
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,70
Pond9Fish1_TimeLeft,1102.528
Pond9_Type,RT
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.707
Pond9Fish2_PondTime,34.024
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,80
Pond9Fish2_TimeLeft,1096.165
Pond9_Type,RT
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.733
Pond9Fish3_PondTime,40.676
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,90
Pond9Fish3_TimeLeft,1089.513
Pond9_Type,RT
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.794
Pond9Fish4_PondTime,47.676
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,100
Pond9Fish4_TimeLeft,1082.512
Pond9_Type,RT
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.907
Pond9Fish5_PondTime,55.042
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,110
Pond9Fish5_TimeLeft,1075.147
Pond9_GiveUpTime,6.587
Pond9_PondTime,61.148
Pond9_PondOutcome,50
Pond9_TotalOutcome,110
Pond9_TimeLeft,1069.041
Pond10IntroTime,13.184329823125154
Pond10_Type,RT
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.946
Pond10Fish1_PondTime,22.348
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,120
Pond10Fish1_TimeLeft,1046.693
Pond10_Type,RT
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,0.636
Pond10Fish2_PondTime,28.995
